id,month,seendate,title,domain,sourcecountry,relevant,sentiment,theme
1,2022-01,20220109T024500Z,10 Dividend Stocks in Adage Capital Portfolio,insidermonkey.com,United States,no,neutral,other
2,2022-01,20220109T030000Z,"  Akwa Ibom , the fast - rising Silicon Valley of Africa  ",vanguardngr.com,Nigeria,no,neutral,other
3,2022-01,20220109T094500Z,Racial / Ethnic Disparities in Length of Life after Dementia Diagnosis : an 18 - Year Follow - up Study of Medicare Beneficiaries,thelancet.com,United Kingdom,no,neutral,other
4,2022-01,20220109T111500Z,Netherlands Fumigants Market – Industrial IT,industrialit.com.au,Australia,no,neutral,other
5,2022-01,20220109T121500Z,3 Dividend Stocks to Buy Hand Over Fist,fool.com,United States,no,neutral,other
6,2022-01,20220109T230000Z,Experts say investment will spur growth | Hellenic Shipping News Worldwide,hellenicshippingnews.com,China,no,neutral,other
7,2022-01,20220110T013000Z,Declaration of the Launch of the SK ICT Alliance ... The Advent of Semiconductor and 5G and AI Convergence Era ( 기업 )- NSP통신,nspna.com,South Korea,no,neutral,other
8,2022-01,20220110T051500Z,Dave Vellante Breaking Analysis : The complete collection,siliconangle.com,United States,no,neutral,other
9,2022-01,20220110T051500Z,Analyst predictions 2022 : The future of data management,siliconangle.com,United States,no,neutral,other
10,2022-01,20220110T070000Z,"Census Recounts Fail to Account for COVID Chaos , Cities Say",governing.com,United States,no,neutral,other
11,2022-01,20220110T071500Z,Telia to build data centre in Lithuania - Developing Telecoms,developingtelecoms.com,India,yes,positive,investment_buildout
12,2022-01,20220110T071500Z,7 Industry Updates You Need to Know This Week [ 60 - second Read ] ,thomasnet.com,United States,no,neutral,other
13,2022-01,20220110T073000Z,"2022 outlook : Experts optimistic , predict 2 . 9 % real estate growth",guardian.ng,Nigeria,no,neutral,other
14,2022-01,20220110T073000Z,IC Insights projects $680bn in 2022 semiconductor sales,theregister.com,,no,neutral,other
15,2022-01,20220110T074500Z,"DigiPlex Reinforces Customer Assurance with Successful Audits of ISO , SOC1 and IASE Certifications at All Eight Data Centers",itnewsonline.com,United States,yes,positive,tech_operations
16,2022-01,20220110T074500Z,Sify,sify.com,India,no,neutral,other
17,2022-01,20220110T080000Z,"Future Facilities launches 16th release of its leading CFD and digital twin software , 6SigmaDCX",datacenterdynamics.com,United States,yes,positive,tech_operations
18,2022-01,20220110T083000Z,Demand Response opportunities in data centers – what holding us back ? ,datacenterdynamics.com,United States,yes,neutral,energy_grid
19,2022-01,20220110T083000Z,"Novel Drug Reconstitution Systems Market , 2021 - 2030",openpr.com,United States,no,neutral,other
20,2022-01,20220110T083000Z,Best new features in Windows Server 2022,reseller.co.nz,New Zealand,no,neutral,other
21,2022-01,20220110T091500Z,The top storage trends for 2022,it-online.co.za,South Africa,no,neutral,other
