topic,month,article_count,avg_tone
5g,2015-02,134,1.7171
5g,2015-03,622,1.5034
5g,2015-04,222,0.7968
5g,2015-05,216,1.4409
5g,2015-06,219,1.6598
5g,2015-07,381,2.0482
5g,2015-08,233,1.8805
5g,2015-09,653,1.4594
5g,2015-10,408,1.5781
5g,2015-11,396,1.5812
5g,2015-12,377,0.9339
5g,2016-01,317,0.5066
5g,2016-02,1739,1.1478
5g,2016-03,347,1.388
5g,2016-04,343,1.0899
5g,2016-05,376,1.1494
5g,2016-06,771,1.0841
5g,2016-07,768,1.1361
5g,2016-08,493,1.2297
5g,2016-09,751,1.6376
5g,2016-10,709,1.5239
5g,2016-11,632,1.412
5g,2016-12,586,1.5113
5g,2017-01,864,1.0203
5g,2017-02,1995,1.5106
5g,2017-03,1132,1.4144
5g,2017-04,766,1.1058
5g,2017-05,877,1.0784
5g,2017-06,681,1.4784
5g,2017-07,518,1.4016
5g,2017-08,405,1.1314
5g,2017-09,891,1.3678
5g,2017-10,902,1.6448
5g,2017-11,1231,1.379
5g,2017-12,964,1.5885
5g,2018-01,1981,0.2098
5g,2018-02,2890,1.3003
5g,2018-03,1670,1.1425
5g,2018-04,1393,0.9704
5g,2018-05,1175,1.1653
5g,2018-06,1847,1.2024
5g,2018-07,1958,1.2206
5g,2018-08,2689,0.1612
5g,2018-09,2450,1.2697
5g,2018-10,2874,1.1137
5g,2018-11,3116,0.5822
5g,2018-12,2656,0.5493
5g,2019-01,3553,-0.0512
5g,2019-02,7073,0.624
5g,2019-03,4093,0.2708
5g,2019-04,6603,0.3332
5g,2019-05,4934,0.0776
5g,2019-06,4756,0.4498
5g,2019-07,4467,0.5631
5g,2019-08,3147,0.7392
5g,2019-09,3982,0.7205
5g,2019-10,4525,0.7448
5g,2019-11,3936,0.6487
5g,2019-12,4151,0.4477
5g,2020-01,5745,0.0871
5g,2020-02,5350,0.5775
5g,2020-03,3526,0.4903
5g,2020-04,5227,-2.1903
5g,2020-05,4051,-0.1622
5g,2020-06,4111,0.3807
5g,2020-07,5973,-0.3884
5g,2020-08,3587,0.6352
5g,2020-09,4178,1.0829
5g,2020-10,3926,0.7046
5g,2020-11,2557,1.1103
5g,2020-12,3809,0.3355
5g,2021-01,3305,0.7609
5g,2021-02,3007,1.0109
5g,2021-03,3006,0.803
5g,2021-04,2926,1.0713
5g,2021-05,2729,0.644
5g,2021-06,3681,0.8445
5g,2021-07,2704,1.1221
5g,2021-08,2224,0.9437
5g,2021-09,2711,1.1899
5g,2021-10,2195,1.0054
5g,2021-11,2574,0.6927
5g,2021-12,2585,0.2451
5g,2022-01,6598,-1.1415
5g,2022-02,2716,1.156
5g,2022-03,2579,1.4954
5g,2022-04,1639,1.3021
5g,2022-05,2219,0.9549
5g,2022-06,2147,1.2608
5g,2022-07,1878,1.1073
5g,2022-08,2165,1.2923
5g,2022-09,1896,1.4639
5g,2022-10,2728,1.5387
5g,2022-11,1555,1.7715
5g,2022-12,1643,1.3134
5g,2023-01,1602,1.691
5g,2023-02,1853,1.9057
5g,2023-03,1778,1.6279
5g,2023-04,1701,1.4549
5g,2023-05,1882,1.3503
5g,2023-06,2115,1.1401
5g,2023-07,2089,1.1862
5g,2023-08,1999,1.8859
5g,2023-09,1989,1.9565
5g,2023-10,1858,1.9804
5g,2023-11,1453,2.3636
5g,2023-12,1302,2.0649
5g,2024-01,1398,2.1046
5g,2024-02,1685,2.7216
5g,2024-03,1970,1.9367
5g,2024-04,2265,1.7594
5g,2024-05,1518,1.6741
5g,2024-06,1418,1.6095
5g,2024-07,1704,1.9151
5g,2024-08,1199,2.0115
5g,2024-09,1157,2.4035
5g,2024-10,1446,2.5008
5g,2024-11,1307,2.8232
5g,2024-12,1045,2.3675
5g,2025-01,967,2.338
5g,2025-02,1304,3.1706
5g,2025-03,1706,2.7276
5g,2025-04,965,2.2011
5g,2025-05,782,2.2049
5g,2025-06,379,1.9755
5g,2025-07,939,2.077
5g,2025-08,929,1.7237
5g,2025-09,1045,2.1474
5g,2025-10,989,2.6835
5g,2025-11,857,2.7355
5g,2025-12,833,1.9883
5g,2026-01,907,1.8601
5g,2026-02,781,2.2293
5g,2026-03,1238,2.2053
5g,2026-04,649,1.9052
5g,2026-05,533,1.8175
5g,2026-06,555,1.7126
crypto_mining,2015-02,8,-0.9266
crypto_mining,2015-03,22,-0.6818
crypto_mining,2015-04,13,-1.1964
crypto_mining,2015-05,26,0.9595
crypto_mining,2015-06,13,-0.5107
crypto_mining,2015-07,26,0.2414
crypto_mining,2015-08,32,1.0172
crypto_mining,2015-09,22,0.5768
crypto_mining,2015-10,12,-0.3469
crypto_mining,2015-11,12,-0.054
crypto_mining,2015-12,23,-1.4704
crypto_mining,2016-01,17,0.0453
crypto_mining,2016-02,51,-2.0206
crypto_mining,2016-03,47,0.7071
crypto_mining,2016-04,17,0.3649
crypto_mining,2016-05,24,-0.0586
crypto_mining,2016-06,12,-0.3234
crypto_mining,2016-07,75,0.4735
crypto_mining,2016-08,11,-2.0086
crypto_mining,2016-09,109,-3.9734
crypto_mining,2016-10,20,-0.2951
crypto_mining,2016-11,20,-0.6313
crypto_mining,2016-12,12,-0.5278
crypto_mining,2017-01,36,-3.328
crypto_mining,2017-02,17,-1.6687
crypto_mining,2017-03,31,-1.0389
crypto_mining,2017-04,20,-0.0641
crypto_mining,2017-05,21,-1.0156
crypto_mining,2017-06,50,0.6239
crypto_mining,2017-07,42,-0.6746
crypto_mining,2017-08,75,0.1095
crypto_mining,2017-09,113,-0.6347
crypto_mining,2017-10,115,-0.9309
crypto_mining,2017-11,141,-0.3297
crypto_mining,2017-12,362,-1.0991
crypto_mining,2018-01,648,-0.5821
crypto_mining,2018-02,688,-1.8215
crypto_mining,2018-03,461,-0.7017
crypto_mining,2018-04,477,-1.439
crypto_mining,2018-05,301,-1.179
crypto_mining,2018-06,317,-0.4661
crypto_mining,2018-07,324,-0.9594
crypto_mining,2018-08,315,-0.3771
crypto_mining,2018-09,206,-1.3586
crypto_mining,2018-10,150,-1.0243
crypto_mining,2018-11,281,-0.903
crypto_mining,2018-12,168,-1.4532
crypto_mining,2019-01,135,-2.6884
crypto_mining,2019-02,89,-1.3655
crypto_mining,2019-03,127,-0.2093
crypto_mining,2019-04,227,-2.1054
crypto_mining,2019-05,92,-1.4944
crypto_mining,2019-06,125,-0.6634
crypto_mining,2019-07,100,-1.9717
crypto_mining,2019-08,92,-1.8391
crypto_mining,2019-09,102,-0.501
crypto_mining,2019-10,105,-0.6207
crypto_mining,2019-11,125,-0.8676
crypto_mining,2019-12,155,-1.5284
crypto_mining,2020-01,45,-0.7608
crypto_mining,2020-02,72,-0.3796
crypto_mining,2020-03,47,-0.9959
crypto_mining,2020-04,90,-0.9724
crypto_mining,2020-05,104,-0.2077
crypto_mining,2020-06,87,-1.4939
crypto_mining,2020-07,48,-1.3145
crypto_mining,2020-08,70,-0.7227
crypto_mining,2020-09,65,-0.9591
crypto_mining,2020-10,20,-0.8128
crypto_mining,2020-11,42,-0.1426
crypto_mining,2020-12,173,-0.1415
crypto_mining,2021-01,220,-0.3962
crypto_mining,2021-02,260,-0.0466
crypto_mining,2021-03,417,0.0297
crypto_mining,2021-04,234,-0.6832
crypto_mining,2021-05,607,-1.2089
crypto_mining,2021-06,534,-1.1298
crypto_mining,2021-07,569,-0.984
crypto_mining,2021-08,308,0.3903
crypto_mining,2021-09,332,-0.2486
crypto_mining,2021-10,665,-0.4227
crypto_mining,2021-11,342,-0.4669
crypto_mining,2021-12,380,-0.35
crypto_mining,2022-01,443,-1.354
crypto_mining,2022-02,336,-0.5936
crypto_mining,2022-03,330,-0.5263
crypto_mining,2022-04,397,-0.4036
crypto_mining,2022-05,370,-0.6396
crypto_mining,2022-06,435,-0.7197
crypto_mining,2022-07,295,-1.0569
crypto_mining,2022-08,211,-0.7537
crypto_mining,2022-09,245,-0.6448
crypto_mining,2022-10,245,-0.8255
crypto_mining,2022-11,225,-1.4835
crypto_mining,2022-12,324,-1.5997
crypto_mining,2023-01,280,-1.5871
crypto_mining,2023-02,194,-0.5753
crypto_mining,2023-03,200,-0.2191
crypto_mining,2023-04,331,-0.0015
crypto_mining,2023-05,373,-0.3426
crypto_mining,2023-06,325,-0.1091
crypto_mining,2023-07,261,0.465
crypto_mining,2023-08,236,-0.3403
crypto_mining,2023-09,292,-0.1102
crypto_mining,2023-10,307,0.8523
crypto_mining,2023-11,262,0.6981
crypto_mining,2023-12,221,0.7554
crypto_mining,2024-01,205,0.7369
crypto_mining,2024-02,407,-1.0164
crypto_mining,2024-03,210,-0.1511
crypto_mining,2024-04,408,-0.0029
crypto_mining,2024-05,275,-1.4599
crypto_mining,2024-06,281,-0.0626
crypto_mining,2024-07,242,-1.36
crypto_mining,2024-08,268,-1.5158
crypto_mining,2024-09,161,-0.2744
crypto_mining,2024-10,166,-0.3625
crypto_mining,2024-11,202,-0.3911
crypto_mining,2024-12,195,-1.1795
crypto_mining,2025-01,178,0.7193
crypto_mining,2025-02,97,-0.1235
crypto_mining,2025-03,176,1.2464
crypto_mining,2025-04,171,0.9975
crypto_mining,2025-05,234,1.9509
crypto_mining,2025-06,82,2.6348
crypto_mining,2025-07,357,2.1978
crypto_mining,2025-08,158,0.8436
crypto_mining,2025-09,117,1.0597
crypto_mining,2025-10,173,0.9518
crypto_mining,2025-11,209,-0.8001
crypto_mining,2025-12,134,-0.5559
crypto_mining,2026-01,125,-0.3593
crypto_mining,2026-02,109,-0.9864
crypto_mining,2026-03,110,0.3957
crypto_mining,2026-04,97,0.1225
crypto_mining,2026-05,54,-0.7065
crypto_mining,2026-06,68,-1.0635
datacenter,2015-02,772,1.2986
datacenter,2015-03,1467,1.2933
datacenter,2015-04,1386,1.1506
datacenter,2015-05,1181,1.3651
datacenter,2015-06,1710,0.8407
datacenter,2015-07,1821,1.1234
datacenter,2015-08,1433,1.0183
datacenter,2015-09,1586,1.278
datacenter,2015-10,1562,1.0924
datacenter,2015-11,1457,1.2316
datacenter,2015-12,1482,0.9195
datacenter,2016-01,1592,1.1112
datacenter,2016-02,1428,0.8083
datacenter,2016-03,1551,1.5437
datacenter,2016-04,1052,1.5359
datacenter,2016-05,1417,1.3638
datacenter,2016-06,1403,1.4877
datacenter,2016-07,1255,1.2782
datacenter,2016-08,1677,0.9342
datacenter,2016-09,1696,1.0438
datacenter,2016-10,1266,1.3851
datacenter,2016-11,1455,1.6378
datacenter,2016-12,1096,1.2536
datacenter,2017-01,1515,1.1219
datacenter,2017-02,1245,1.3494
datacenter,2017-03,1322,1.5388
datacenter,2017-04,1113,1.3873
datacenter,2017-05,1615,1.473
datacenter,2017-06,1121,1.5068
datacenter,2017-07,1630,0.9103
datacenter,2017-08,1349,1.3415
datacenter,2017-09,976,1.2896
datacenter,2017-10,1303,1.3244
datacenter,2017-11,1375,1.3066
datacenter,2017-12,768,1.2511
datacenter,2018-01,1054,1.0426
datacenter,2018-02,1041,1.2304
datacenter,2018-03,1414,1.4072
datacenter,2018-04,972,1.1341
datacenter,2018-05,1272,1.0325
datacenter,2018-06,1299,1.5712
datacenter,2018-07,1172,1.3434
datacenter,2018-08,1084,1.5951
datacenter,2018-09,1235,1.2699
datacenter,2018-10,971,1.6313
datacenter,2018-11,995,1.7047
datacenter,2018-12,654,1.5733
datacenter,2019-01,989,1.53
datacenter,2019-02,1220,1.246
datacenter,2019-03,929,1.8577
datacenter,2019-04,916,1.7696
datacenter,2019-05,937,1.5727
datacenter,2019-06,871,1.4601
datacenter,2019-07,916,1.4619
datacenter,2019-08,741,1.3998
datacenter,2019-09,922,0.866
datacenter,2019-10,872,1.4757
datacenter,2019-11,975,1.8821
datacenter,2019-12,657,1.4645
datacenter,2020-01,635,1.1069
datacenter,2020-02,771,1.4369
datacenter,2020-03,656,1.2309
datacenter,2020-04,671,1.192
datacenter,2020-05,786,1.2098
datacenter,2020-06,798,1.5843
datacenter,2020-07,942,1.6786
datacenter,2020-08,882,1.2223
datacenter,2020-09,833,1.4022
datacenter,2020-10,822,0.997
datacenter,2020-11,640,1.6118
datacenter,2020-12,657,1.5413
datacenter,2021-01,594,1.3
datacenter,2021-02,738,1.2658
datacenter,2021-03,979,1.0656
datacenter,2021-04,901,0.966
datacenter,2021-05,816,1.4221
datacenter,2021-06,1013,0.7958
datacenter,2021-07,675,1.3762
datacenter,2021-08,721,1.2284
datacenter,2021-09,1019,1.3292
datacenter,2021-10,1173,0.8539
datacenter,2021-11,930,1.1972
datacenter,2021-12,706,0.9225
datacenter,2022-01,837,1.0911
datacenter,2022-02,846,1.4958
datacenter,2022-03,985,1.5142
datacenter,2022-04,988,1.4496
datacenter,2022-05,842,1.2618
datacenter,2022-06,853,1.6064
datacenter,2022-07,755,1.0393
datacenter,2022-08,937,0.5308
datacenter,2022-09,854,1.2497
datacenter,2022-10,677,1.2547
datacenter,2022-11,816,1.1996
datacenter,2022-12,794,1.0288
datacenter,2023-01,744,1.0387
datacenter,2023-02,895,0.7702
datacenter,2023-03,759,1.533
datacenter,2023-04,824,1.4303
datacenter,2023-05,1166,1.5454
datacenter,2023-06,1157,1.3711
datacenter,2023-07,902,1.5267
datacenter,2023-08,918,1.2288
datacenter,2023-09,954,1.4839
datacenter,2023-10,910,1.5409
datacenter,2023-11,888,1.4479
datacenter,2023-12,761,1.8608
datacenter,2024-01,946,1.6769
datacenter,2024-02,862,1.4604
datacenter,2024-03,1167,1.8002
datacenter,2024-04,1158,1.3216
datacenter,2024-05,1665,1.3652
datacenter,2024-06,1453,1.0935
datacenter,2024-07,1334,1.2018
datacenter,2024-08,1335,1.2568
datacenter,2024-09,1709,1.1925
datacenter,2024-10,1831,1.5623
datacenter,2024-11,1579,1.486
datacenter,2024-12,1676,1.2677
datacenter,2025-01,2234,1.1297
datacenter,2025-02,1826,1.2349
datacenter,2025-03,1648,1.4122
datacenter,2025-04,2008,0.8728
datacenter,2025-05,1839,1.149
datacenter,2025-06,941,1.2162
datacenter,2025-07,2425,1.0643
datacenter,2025-08,2276,0.8848
datacenter,2025-09,2938,0.9421
datacenter,2025-10,3649,0.9499
datacenter,2025-11,3661,0.8603
datacenter,2025-12,3597,0.3237
datacenter,2026-01,4116,0.094
datacenter,2026-02,5036,0.3654
datacenter,2026-03,5691,-0.0422
datacenter,2026-04,5585,-0.2798
datacenter,2026-05,6946,-0.2897
datacenter,2026-06,9120,-0.3516
fracking,2015-02,756,-1.8728
fracking,2015-03,2977,-1.8401
fracking,2015-04,2374,-2.3584
fracking,2015-05,2458,-2.1034
fracking,2015-06,3264,-2.0338
fracking,2015-07,2210,-2.1302
fracking,2015-08,1545,-1.6636
fracking,2015-09,1490,-1.5573
fracking,2015-10,1620,-1.6018
fracking,2015-11,1573,-1.2868
fracking,2015-12,1442,-1.5018
fracking,2016-01,1209,-1.3144
fracking,2016-02,1528,-2.0229
fracking,2016-03,1577,-2.0421
fracking,2016-04,1645,-1.6676
fracking,2016-05,3629,-1.4562
fracking,2016-06,2310,-1.8198
fracking,2016-07,1656,-1.9329
fracking,2016-08,1790,-1.6286
fracking,2016-09,1736,-1.9762
fracking,2016-10,1995,-1.0717
fracking,2016-11,1148,-2.0557
fracking,2016-12,1765,-2.0742
fracking,2017-01,961,-1.852
fracking,2017-02,1237,-1.8
fracking,2017-03,1355,-1.9123
fracking,2017-04,859,-1.5312
fracking,2017-05,785,-1.5291
fracking,2017-06,573,-1.2912
fracking,2017-07,895,-1.4331
fracking,2017-08,538,-1.6604
fracking,2017-09,1195,-2.3101
fracking,2017-10,1414,-2.8862
fracking,2017-11,732,-2.7399
fracking,2017-12,689,-1.9263
fracking,2018-01,791,-1.5006
fracking,2018-02,601,-1.5788
fracking,2018-03,825,-1.227
fracking,2018-04,612,-1.5548
fracking,2018-05,655,-1.7659
fracking,2018-06,486,-2.4244
fracking,2018-07,507,-1.5183
fracking,2018-08,448,-1.6361
fracking,2018-09,817,-2.2406
fracking,2018-10,2295,-2.7661
fracking,2018-11,760,-1.5914
fracking,2018-12,543,-1.8705
fracking,2019-01,337,-1.6387
fracking,2019-02,381,-2.7162
fracking,2019-03,763,-1.5691
fracking,2019-04,437,-1.6643
fracking,2019-05,624,-2.2936
fracking,2019-06,450,-2.281
fracking,2019-07,383,-1.0856
fracking,2019-08,1141,-1.4131
fracking,2019-09,542,-1.5714
fracking,2019-10,487,-2.3971
fracking,2019-11,1576,-2.6195
fracking,2019-12,222,-1.677
fracking,2020-01,399,-2.0116
fracking,2020-02,528,-1.9121
fracking,2020-03,274,-2.3118
fracking,2020-04,257,-1.7334
fracking,2020-05,101,-2.1103
fracking,2020-06,279,-3.0211
fracking,2020-07,356,-1.8315
fracking,2020-08,143,-1.8081
fracking,2020-09,459,-2.5462
fracking,2020-10,536,-2.1151
fracking,2020-11,133,-1.2984
fracking,2020-12,153,-1.1378
fracking,2021-01,176,-2.046
fracking,2021-02,447,-2.4286
fracking,2021-03,179,-1.4078
fracking,2021-04,427,-1.6706
fracking,2021-05,141,-1.5743
fracking,2021-06,98,-1.2147
fracking,2021-07,148,-1.587
fracking,2021-08,77,-1.4654
fracking,2021-09,89,-0.6005
fracking,2021-10,74,-1.5947
fracking,2021-11,138,-1.8126
fracking,2021-12,58,-1.5421
fracking,2022-01,68,-1.8467
fracking,2022-02,325,-2.4794
fracking,2022-03,337,-1.799
fracking,2022-04,495,-1.5214
fracking,2022-05,73,-0.7543
fracking,2022-06,88,-2.0232
fracking,2022-07,170,-2.9418
fracking,2022-08,193,-2.6901
fracking,2022-09,1178,-2.348
fracking,2022-10,811,-3.3336
fracking,2022-11,100,-1.9491
fracking,2022-12,131,-1.2259
fracking,2023-01,62,-1.3906
fracking,2023-02,39,-1.0523
fracking,2023-03,79,-0.9397
fracking,2023-04,193,-1.359
fracking,2023-05,295,-2.2754
fracking,2023-06,207,-1.044
fracking,2023-07,75,-1.3874
fracking,2023-08,272,-2.1385
fracking,2023-09,129,-1.5758
fracking,2023-10,77,-1.4415
fracking,2023-11,130,-1.4944
fracking,2023-12,101,-0.6708
fracking,2024-01,89,-1.4961
fracking,2024-02,174,-1.0977
fracking,2024-03,184,-1.4549
fracking,2024-04,263,-1.3777
fracking,2024-05,97,-0.8409
fracking,2024-06,94,-0.7529
fracking,2024-07,108,-1.3896
fracking,2024-08,731,-2.1113
fracking,2024-09,500,-2.1775
fracking,2024-10,159,-1.73
fracking,2024-11,339,-1.1012
fracking,2024-12,98,-0.6966
fracking,2025-01,94,-1.5113
fracking,2025-02,159,-1.4006
fracking,2025-03,123,-1.681
fracking,2025-04,57,-1.516
fracking,2025-05,81,-1.6936
fracking,2025-06,32,-1.6023
fracking,2025-07,39,-1.4444
fracking,2025-08,61,-1.5437
fracking,2025-09,62,-1.5632
fracking,2025-10,145,-2.5885
fracking,2025-11,39,-1.8249
fracking,2025-12,49,-2.6355
fracking,2026-01,47,-1.9798
fracking,2026-02,61,-1.4525
fracking,2026-03,35,-2.3144
fracking,2026-04,91,-1.618
fracking,2026-05,67,-1.0453
fracking,2026-06,147,-1.6475
solar,2015-02,308,0.9035
solar,2015-03,1156,0.9236
solar,2015-04,1015,0.6931
solar,2015-05,894,0.7109
solar,2015-06,885,0.5404
solar,2015-07,1093,0.6491
solar,2015-08,1181,0.7114
solar,2015-09,1091,0.4372
solar,2015-10,1166,1.0254
solar,2015-11,833,0.6133
solar,2015-12,1345,-0.8132
solar,2016-01,1111,0.6199
solar,2016-02,753,0.7046
solar,2016-03,878,0.7661
solar,2016-04,1223,0.7
solar,2016-05,760,0.7704
solar,2016-06,1063,-0.0817
solar,2016-07,950,0.6753
solar,2016-08,833,0.4182
solar,2016-09,1011,0.9818
solar,2016-10,843,0.7919
solar,2016-11,1052,0.5645
solar,2016-12,887,0.5379
solar,2017-01,916,0.8996
solar,2017-02,1397,-0.1574
solar,2017-03,992,0.6426
solar,2017-04,1343,0.7489
solar,2017-05,950,0.3971
solar,2017-06,1201,1.0975
solar,2017-07,1095,-0.5754
solar,2017-08,703,0.6237
solar,2017-09,953,0.5572
solar,2017-10,889,0.5619
