id,month,gkg_date,url,domain,title,title_source,relevant,sentiment,theme
1,2022-01,20220120220000,https://www.insidenova.com/headlines/prince-william-data-center-hearing-going-virtual-after-all/article_91fb33de-7a16-11ec-ac9f-f7dc94d8d5f2.html,insidenova.com,Prince William data center hearing going virtual after all,live,yes,neutral,community_opposition
2,2022-01,20220126211500,https://www.chron.com/news/article/1-9-billion-data-center-planned-in-northwest-16806669.php,chron.com,billion data center planned in northwest,slug,yes,positive,investment_buildout
3,2022-01,20220121230000,https://www.texasguardian.com/news/272219289/data-center-infrastructure-management-market-projected-to-reach-32-billion-by-2026-with-a-remarkable-cagr-112,texasguardian.com,"Data Center Infrastructure Management Market projected to reach $3.2 billion by 2026, with a remarkable CAGR 11.2%",live,yes,positive,investment_buildout
4,2022-01,20220125124500,https://www.prnewswire.com:443/news-releases/united-states-data-center-market-report-2022-2027-high-adoption-of-ehrs-and-the-launch-of-new-government-initiatives-and-incentive-policies-are-creating-opportunities-for-emerging-players-301467375.html,prnewswire.com:443,United States Data Center Market Report 2022-2027: High Adoption of EHRs and the Launch of New Government Initiatives and Incentive Policies are Creating Opportunities for Emerging Players,live,yes,positive,investment_buildout
5,2022-01,20220121044500,https://www.azcentral.com/story/news/politics/elections/2022/01/20/arizona-senate-asks-cyber-ninjas-if-audit-records-stored-at-data-center/6601527001/,azcentral.com,Arizona Senate asks Cyber Ninjas if audit files stored in data center,live,no,neutral,other
6,2022-01,20220128014500,https://www.telecompaper.com/news/equinix-gic-to-invest-usd-525-million-deploy-two-xscale-data-centers-in-seoul--1412054,telecompaper.com,"Equinix, GIC to invest USD 525 million, deploy two xScale data centers in Seoul - Telecompaper",live,yes,positive,investment_buildout
7,2022-01,20220105194500,https://www.energylivenews.com/2022/01/05/facebook-data-centre-could-put-netherlands-climate-goals-at-risk/,energylivenews.com,Facebook data centre 'could put Netherlands' climate goals at risk' - Energy Live News,live,yes,negative,environment_water
8,2022-01,20220122123000,https://www.wyomingnews.com/news/local_news/wyoming-based-data-center-focuses-on-sustainable-power/article_ae9e5915-e744-51c0-a717-d5f4c53ac36a.html,wyomingnews.com,Wyoming-based data center focuses on sustainable power,live,yes,positive,energy_grid
9,2022-01,20220105150000,https://www.propertyweek.com/news/fiera-sells-data-centre-in-bracknell-for-57m/5118158.article,propertyweek.com,Fiera sells data centre in Bracknell for £57m | Property Week,live,yes,neutral,investment_buildout
10,2022-01,20220119114500,https://www.datacenterdynamics.com/en/news/two-centrilogic-occupied-data-centers-the-us-sold-for-103m/,datacenterdynamics.com,Two Centrilogic-occupied data centers in the US sold for $10.3m - DCD,live,yes,neutral,investment_buildout
11,2022-01,20220124114500,https://www.telecompaper.com/news/telia-lithuania-receives-bank-card-data-security-certificate-for-vilnius-data-centres--1411411,telecompaper.com,Telia Lithuania receives bank card data security certificate for Vilnius data centres - Telecompaper,live,yes,positive,tech_operations
12,2022-01,20220111000000,https://www.con-telegraph.ie/2022/01/10/land-sale-brings-mayos-first-data-centre-a-step-closer/,con-telegraph.ie,Land sale brings Mayo’s first data centre a step closer | Connaught Telegraph,live,yes,positive,investment_buildout
13,2022-01,20220118071500,https://www.austinglobe.com/news/272195464/global-data-centre-switch-market-to-be-driven-by-high-demand-for-cloud-services-in-the-forecast-period-of-2021-2026,austinglobe.com,Global Data Centre Switch Market To Be Driven By High Demand For Cloud Services In The Forecast Period Of 2021-2026,live,yes,positive,investment_buildout
14,2022-01,20220120011500,https://bismarcktribune.com/news/local/bismarck/cryptocurrency-data-centers-eye-north-dakota-for-its-cold-winters/article_e7b5f7ca-9610-5074-b04e-b246ba0a11bc.html,bismarcktribune.com,Cryptocurrency data centers eye North Dakota for its cold winters,live,yes,positive,investment_buildout
15,2022-01,20220107150000,https://www.prnewswire.com:443/news-releases/data-center-infrastructure-management-market-worth-3-2-billion-by-2026--exclusive-research-by-marketsandmarkets-301456099.html,prnewswire.com:443,Data Center Infrastructure Management Market worth $3.2 billion by 2026 - Exclusive Research by MarketsandMarkets™,live,yes,positive,investment_buildout
16,2022-01,20220127211500,https://drgnews.com/2022/01/27/1-9-billion-data-center-planned-in-northwest-north-dakota/,drgnews.com,billion data center planned in northwest north dakota,slug,yes,positive,investment_buildout
