topic,month,article_count,avg_tone
5g,2015-02,134,1.7171
5g,2015-03,613,1.484
5g,2015-04,221,0.7893
5g,2015-05,208,1.3879
5g,2015-06,212,1.6515
5g,2015-07,364,1.9975
5g,2015-08,224,1.7863
5g,2015-09,646,1.4607
5g,2015-10,405,1.5745
5g,2015-11,392,1.5825
5g,2015-12,376,0.9271
5g,2016-01,313,0.5062
5g,2016-02,1694,1.1085
5g,2016-03,337,1.3768
5g,2016-04,331,1.0977
5g,2016-05,367,1.135
5g,2016-06,756,1.055
5g,2016-07,749,1.1049
5g,2016-08,475,1.2095
5g,2016-09,723,1.6321
5g,2016-10,687,1.5075
5g,2016-11,609,1.3948
5g,2016-12,561,1.476
5g,2017-01,832,0.9716
5g,2017-02,1891,1.4551
5g,2017-03,1082,1.3862
5g,2017-04,738,1.0984
5g,2017-05,833,1.0435
5g,2017-06,632,1.4653
5g,2017-07,487,1.3341
5g,2017-08,386,1.1051
5g,2017-09,842,1.3351
5g,2017-10,858,1.6341
5g,2017-11,1164,1.3539
5g,2017-12,920,1.5602
5g,2018-01,1918,0.1478
5g,2018-02,2764,1.2312
5g,2018-03,1616,1.1047
5g,2018-04,1336,0.9395
5g,2018-05,1110,1.0999
5g,2018-06,1750,1.1457
5g,2018-07,1873,1.1814
5g,2018-08,2602,0.0839
5g,2018-09,2331,1.1799
5g,2018-10,2777,1.0427
5g,2018-11,3012,0.4827
5g,2018-12,2594,0.476
5g,2019-01,3437,-0.174
5g,2019-02,6744,0.4983
5g,2019-03,3971,0.1838
5g,2019-04,6471,0.282
5g,2019-05,4836,0.0237
5g,2019-06,4637,0.3969
5g,2019-07,4379,0.5199
5g,2019-08,3056,0.6817
5g,2019-09,3892,0.6784
5g,2019-10,4314,0.6732
5g,2019-11,3819,0.5923
5g,2019-12,4029,0.3918
5g,2020-01,5615,0.0326
5g,2020-02,5148,0.4936
5g,2020-03,3395,0.4129
5g,2020-04,5117,-2.2716
5g,2020-05,3918,-0.2219
5g,2020-06,3925,0.3049
5g,2020-07,5847,-0.4451
5g,2020-08,3460,0.5791
5g,2020-09,4022,1.0121
5g,2020-10,3805,0.6508
5g,2020-11,2466,1.0339
5g,2020-12,3649,0.2656
5g,2021-01,3187,0.7057
5g,2021-02,2873,0.9213
5g,2021-03,2873,0.6996
5g,2021-04,2763,0.9686
5g,2021-05,2593,0.522
5g,2021-06,3493,0.7429
5g,2021-07,2575,1.0399
5g,2021-08,2113,0.8567
5g,2021-09,2554,1.1016
5g,2021-10,2062,0.9145
5g,2021-11,2438,0.5895
5g,2021-12,2445,0.1024
5g,2022-01,6458,-1.2271
5g,2022-02,2563,1.0454
5g,2022-03,2432,1.411
5g,2022-04,1550,1.233
5g,2022-05,2095,0.8959
5g,2022-06,2024,1.2086
5g,2022-07,1775,1.025
5g,2022-08,2070,1.2524
5g,2022-09,1767,1.3962
5g,2022-10,2602,1.4736
5g,2022-11,1452,1.6713
5g,2022-12,1559,1.2636
5g,2023-01,1523,1.6518
5g,2023-02,1716,1.7844
5g,2023-03,1725,1.5965
5g,2023-04,1651,1.4271
5g,2023-05,1841,1.3142
5g,2023-06,2053,1.0811
5g,2023-07,2030,1.1474
5g,2023-08,1941,1.8768
5g,2023-09,1925,1.9289
5g,2023-10,1799,1.9297
5g,2023-11,1411,2.3175
5g,2023-12,1256,2.0278
5g,2024-01,1342,2.1038
5g,2024-02,1579,2.648
5g,2024-03,1909,1.9233
5g,2024-04,2211,1.7224
5g,2024-05,1466,1.649
5g,2024-06,1375,1.5614
5g,2024-07,1648,1.8907
5g,2024-08,1151,2.0041
5g,2024-09,1109,2.3456
5g,2024-10,1369,2.4478
5g,2024-11,1207,2.7312
5g,2024-12,1000,2.2975
5g,2025-01,915,2.2722
5g,2025-02,1230,3.1355
5g,2025-03,1606,2.6187
5g,2025-04,909,2.1253
5g,2025-05,734,2.1451
5g,2025-06,346,1.8665
5g,2025-07,896,2.0016
5g,2025-08,890,1.6704
5g,2025-09,979,2.0482
5g,2025-10,915,2.6109
5g,2025-11,806,2.6564
5g,2025-12,789,1.9114
5g,2026-01,868,1.824
5g,2026-02,738,2.1613
5g,2026-03,1176,2.1226
5g,2026-04,628,1.8135
5g,2026-05,512,1.8019
5g,2026-06,528,1.5658
crypto_mining,2015-02,8,-0.9266
crypto_mining,2015-03,22,-0.6818
crypto_mining,2015-04,13,-1.1964
crypto_mining,2015-05,26,0.9595
crypto_mining,2015-06,13,-0.5107
crypto_mining,2015-07,26,0.2414
crypto_mining,2015-08,32,1.0172
crypto_mining,2015-09,22,0.5768
crypto_mining,2015-10,12,-0.3469
crypto_mining,2015-11,12,-0.054
crypto_mining,2015-12,23,-1.4704
crypto_mining,2016-01,17,0.0453
crypto_mining,2016-02,50,-2.1386
crypto_mining,2016-03,45,0.6615
crypto_mining,2016-04,16,0.4346
crypto_mining,2016-05,24,-0.0586
crypto_mining,2016-06,12,-0.3234
crypto_mining,2016-07,75,0.4735
crypto_mining,2016-08,11,-2.0086
crypto_mining,2016-09,108,-4.0234
crypto_mining,2016-10,18,-0.3672
crypto_mining,2016-11,20,-0.6313
crypto_mining,2016-12,12,-0.5278
crypto_mining,2017-01,36,-3.328
crypto_mining,2017-02,17,-1.6687
crypto_mining,2017-03,30,-1.0784
crypto_mining,2017-04,20,-0.0641
crypto_mining,2017-05,20,-1.034
crypto_mining,2017-06,50,0.6239
crypto_mining,2017-07,42,-0.6746
crypto_mining,2017-08,72,0.0865
crypto_mining,2017-09,109,-0.6388
crypto_mining,2017-10,113,-0.9703
crypto_mining,2017-11,136,-0.374
crypto_mining,2017-12,352,-1.1591
crypto_mining,2018-01,631,-0.6077
crypto_mining,2018-02,677,-1.851
crypto_mining,2018-03,446,-0.7603
crypto_mining,2018-04,470,-1.4504
crypto_mining,2018-05,297,-1.1967
crypto_mining,2018-06,311,-0.4744
crypto_mining,2018-07,308,-1.1133
crypto_mining,2018-08,304,-0.4897
crypto_mining,2018-09,206,-1.3586
crypto_mining,2018-10,147,-1.0912
crypto_mining,2018-11,273,-0.9594
crypto_mining,2018-12,168,-1.4532
crypto_mining,2019-01,135,-2.6884
crypto_mining,2019-02,87,-1.4367
crypto_mining,2019-03,120,-0.3394
crypto_mining,2019-04,227,-2.1054
crypto_mining,2019-05,87,-1.6527
crypto_mining,2019-06,125,-0.6634
crypto_mining,2019-07,99,-2.011
crypto_mining,2019-08,92,-1.8391
crypto_mining,2019-09,100,-0.5739
crypto_mining,2019-10,105,-0.6207
crypto_mining,2019-11,124,-0.8762
crypto_mining,2019-12,155,-1.5284
crypto_mining,2020-01,41,-1.1091
crypto_mining,2020-02,68,-0.4369
crypto_mining,2020-03,46,-1.065
crypto_mining,2020-04,84,-1.2818
crypto_mining,2020-05,102,-0.2997
crypto_mining,2020-06,84,-1.5993
crypto_mining,2020-07,47,-1.4001
crypto_mining,2020-08,68,-1.0446
crypto_mining,2020-09,65,-0.9591
crypto_mining,2020-10,19,-1.0529
crypto_mining,2020-11,41,-0.1425
crypto_mining,2020-12,163,-0.2759
crypto_mining,2021-01,209,-0.5345
crypto_mining,2021-02,238,-0.2228
crypto_mining,2021-03,390,-0.0421
crypto_mining,2021-04,219,-0.8182
