topic,quarter,n_relevant,positive_share,negative_share,neutral_share,net_sentiment
5g,2015Q1,33,0.6061,0.1212,0.2727,0.4848
5g,2015Q2,33,0.4242,0.1212,0.4545,0.303
5g,2015Q3,34,0.6765,0.0294,0.2941,0.6471
5g,2015Q4,37,0.6216,0.0541,0.3243,0.5676
5g,2016Q1,33,0.7576,0.0606,0.1818,0.697
5g,2016Q2,33,0.7273,0.0303,0.2424,0.697
5g,2016Q3,34,0.7941,0.0588,0.1471,0.7353
5g,2016Q4,31,0.6129,0.129,0.2581,0.4839
5g,2017Q1,36,0.6667,0.0556,0.2778,0.6111
5g,2017Q2,33,0.6667,0.1212,0.2121,0.5455
5g,2017Q3,33,0.5455,0.1212,0.3333,0.4242
5g,2017Q4,36,0.5278,0.1944,0.2778,0.3333
5g,2018Q1,37,0.5676,0.1081,0.3243,0.4595
5g,2018Q2,32,0.4688,0.125,0.4062,0.3438
5g,2018Q3,34,0.7353,0.1176,0.1471,0.6176
5g,2018Q4,36,0.6111,0.1111,0.2778,0.5
5g,2019Q1,37,0.6216,0.1081,0.2703,0.5135
5g,2019Q2,35,0.4571,0.2,0.3429,0.2571
5g,2019Q3,33,0.3939,0.2727,0.3333,0.1212
5g,2019Q4,24,0.5417,0.25,0.2083,0.2917
5g,2020Q1,30,0.3667,0.2667,0.3667,0.1
5g,2020Q2,30,0.3333,0.4667,0.2,-0.1333
5g,2020Q3,26,0.7692,0.1154,0.1154,0.6538
5g,2020Q4,24,0.7083,0.25,0.0417,0.4583
5g,2021Q1,27,0.7407,0.2222,0.037,0.5185
5g,2021Q2,25,0.64,0.04,0.32,0.6
5g,2021Q3,26,0.6923,0.1923,0.1154,0.5
5g,2021Q4,27,0.6296,0.1111,0.2593,0.5185
5g,2022Q1,27,0.3333,0.4444,0.2222,-0.1111
5g,2022Q2,25,0.56,0.16,0.28,0.4
5g,2022Q3,28,0.6071,0.0714,0.3214,0.5357
5g,2022Q4,30,0.6667,0.0667,0.2667,0.6
5g,2023Q1,26,0.8077,0.1154,0.0769,0.6923
5g,2023Q2,31,0.5806,0.0968,0.3226,0.4839
5g,2023Q3,24,0.375,0.1667,0.4583,0.2083
5g,2023Q4,25,0.76,0.04,0.2,0.72
5g,2024Q1,24,0.75,0.0833,0.1667,0.6667
5g,2024Q2,18,0.6667,0.0556,0.2778,0.6111
5g,2024Q3,26,0.6538,0.0769,0.2692,0.5769
5g,2024Q4,27,0.7407,0.1111,0.1481,0.6296
5g,2025Q1,21,0.5714,0.1905,0.2381,0.381
5g,2025Q2,16,1.0,0.0,0.0,1.0
5g,2025Q3,29,0.6207,0.1724,0.2069,0.4483
5g,2025Q4,29,0.7241,0.069,0.2069,0.6552
5g,2026Q1,26,0.6923,0.0769,0.2308,0.6154
5g,2026Q2,29,0.6552,0.1034,0.2414,0.5517
crypto_mining,2015Q1,21,0.0,0.7619,0.2381,-0.7619
crypto_mining,2015Q2,25,0.44,0.24,0.32,0.2
crypto_mining,2015Q3,35,0.4,0.4571,0.1429,-0.0571
crypto_mining,2015Q4,36,0.3333,0.3889,0.2778,-0.0556
crypto_mining,2016Q1,34,0.6765,0.2647,0.0588,0.4118
crypto_mining,2016Q2,28,0.3214,0.3214,0.3571,0.0
crypto_mining,2016Q3,33,0.0303,0.697,0.2727,-0.6667
crypto_mining,2016Q4,30,0.3,0.3333,0.3667,-0.0333
crypto_mining,2017Q1,31,0.2903,0.5161,0.1935,-0.2258
crypto_mining,2017Q2,34,0.5882,0.2647,0.1471,0.3235
crypto_mining,2017Q3,34,0.4118,0.2059,0.3824,0.2059
crypto_mining,2017Q4,36,0.3611,0.4444,0.1944,-0.0833
crypto_mining,2018Q1,35,0.2571,0.5714,0.1714,-0.3143
crypto_mining,2018Q2,35,0.3429,0.4,0.2571,-0.0571
crypto_mining,2018Q3,36,0.4722,0.4444,0.0833,0.0278
crypto_mining,2018Q4,34,0.2647,0.6176,0.1176,-0.3529
crypto_mining,2019Q1,35,0.1714,0.5429,0.2857,-0.3714
crypto_mining,2019Q2,35,0.1143,0.7429,0.1429,-0.6286
crypto_mining,2019Q3,35,0.2286,0.6286,0.1429,-0.4
crypto_mining,2019Q4,34,0.1765,0.5588,0.2647,-0.3824
crypto_mining,2020Q1,30,0.3333,0.5,0.1667,-0.1667
crypto_mining,2020Q2,35,0.3714,0.4,0.2286,-0.0286
crypto_mining,2020Q3,32,0.4688,0.2812,0.25,0.1875
crypto_mining,2020Q4,37,0.7027,0.1892,0.1081,0.5135
crypto_mining,2021Q1,37,0.4595,0.3784,0.1622,0.0811
crypto_mining,2021Q2,39,0.359,0.4872,0.1538,-0.1282
crypto_mining,2021Q3,39,0.5641,0.3077,0.1282,0.2564
crypto_mining,2021Q4,38,0.6579,0.2632,0.0789,0.3947
crypto_mining,2022Q1,38,0.3947,0.3947,0.2105,0.0
crypto_mining,2022Q2,36,0.4444,0.3889,0.1667,0.0556
crypto_mining,2022Q3,37,0.2162,0.5946,0.1892,-0.3784
crypto_mining,2022Q4,36,0.25,0.5556,0.1944,-0.3056
crypto_mining,2023Q1,39,0.5385,0.4103,0.0513,0.1282
crypto_mining,2023Q2,38,0.3684,0.3947,0.2368,-0.0263
crypto_mining,2023Q3,35,0.5429,0.2857,0.1714,0.2571
crypto_mining,2023Q4,31,0.4194,0.2903,0.2903,0.129
crypto_mining,2024Q1,33,0.3939,0.4545,0.1515,-0.0606
crypto_mining,2024Q2,38,0.3158,0.2895,0.3947,0.0263
crypto_mining,2024Q3,40,0.425,0.35,0.225,0.075
crypto_mining,2024Q4,38,0.4211,0.3684,0.2105,0.0526
crypto_mining,2025Q1,40,0.45,0.3,0.25,0.15
