month,local_n,local_negative_share,local_net_sentiment,national_n,national_negative_share,national_net_sentiment,trade_n,trade_negative_share,trade_net_sentiment
2022-01,18,0.1111,0.6111,11,0.0909,0.8182,59,0.1186,0.5085
2022-02,15,0.2,0.4,18,0.1667,0.6111,51,0.098,0.5686
2022-03,18,0.3333,0.2778,17,0.1176,0.7059,58,0.1207,0.569
2022-04,20,0.0,0.8,21,0.0476,0.8095,51,0.0588,0.6667
2022-05,18,0.2778,0.2778,17,0.1176,0.7059,49,0.0612,0.7551
2022-06,19,0.2105,0.3158,24,0.0417,0.8333,39,0.1026,0.641
2022-07,20,0.2,0.3,18,0.2222,0.4444,48,0.2292,0.2917
2022-08,29,0.7931,-0.6207,16,0.4375,0.125,52,0.2308,0.3462
2022-09,13,0.6154,-0.3077,27,0.2222,0.4444,50,0.12,0.5
2022-10,12,0.3333,-0.0833,23,0.1304,0.5652,55,0.2182,0.4
2022-11,18,0.3889,0.0556,22,0.0455,0.8182,47,0.0638,0.6383
2022-12,15,0.3333,0.0667,22,0.2273,0.4545,55,0.1455,0.4364
2023-01,23,0.1739,0.4348,23,0.0,0.8261,59,0.0847,0.6271
2023-02,30,0.3333,-0.1667,23,0.3478,0.1304,43,0.186,0.2791
2023-03,22,0.2727,0.1364,16,0.125,0.75,49,0.1224,0.5714
2023-04,26,0.1538,0.6154,15,0.0667,0.7333,46,0.0435,0.5217
2023-05,24,0.0417,0.5417,21,0.0952,0.5714,43,0.0233,0.6047
2023-06,21,0.5238,-0.1429,29,0.2414,0.2759,46,0.0652,0.4783
2023-07,26,0.3077,0.1154,13,0.3846,0.0,43,0.1395,0.2558
2023-08,19,0.0526,0.5263,24,0.25,0.125,48,0.0625,0.5417
2023-09,35,0.1143,0.3429,24,0.0833,0.625,50,0.12,0.46
2023-10,12,0.3333,0.0833,29,0.1724,0.5172,61,0.1148,0.4918
2023-11,17,0.1765,0.2353,23,0.0435,0.6957,64,0.0938,0.5625
2023-12,34,0.0882,0.5294,23,0.1739,0.3478,55,0.1273,0.5091
2024-01,27,0.1481,0.3704,26,0.0769,0.6923,59,0.1186,0.4068
2024-02,17,0.3529,0.0,29,0.1379,0.5517,57,0.0877,0.5088
2024-03,29,0.1379,0.6207,26,0.1154,0.5,58,0.0172,0.6897
2024-04,30,0.2,0.4667,27,0.0741,0.7407,51,0.0392,0.4902
2024-05,32,0.25,0.25,34,0.0882,0.7353,48,0.0417,0.625
2024-06,34,0.3529,0.1176,29,0.4483,-0.069,47,0.0851,0.617
2024-07,33,0.303,0.0606,24,0.25,0.2917,61,0.082,0.5574
2024-08,23,0.3043,0.087,25,0.2,0.4,51,0.0588,0.6471
2024-09,52,0.1538,0.4038,35,0.1714,0.5714,39,0.0513,0.7692
2024-10,23,0.2174,0.3913,35,0.1143,0.5714,61,0.0984,0.5574
2024-11,14,0.2857,0.0,55,0.2364,0.3273,48,0.0833,0.5208
2024-12,40,0.425,0.075,31,0.2903,0.2903,49,0.102,0.5102
2025-01,36,0.3889,-0.1111,36,0.0556,0.8056,42,0.2143,0.2619
2025-02,39,0.3333,0.0,32,0.2188,0.4688,52,0.1154,0.4615
2025-03,27,0.2593,0.0741,31,0.0968,0.6129,70,0.1,0.4286
2025-04,53,0.4151,-0.1887,27,0.3333,0.1852,36,0.1667,0.3056
2025-05,43,0.2326,0.186,24,0.0833,0.625,44,0.0455,0.6591
2025-06,45,0.2444,0.3111,31,0.0645,0.6774,44,0.1364,0.5227
2025-07,46,0.4565,-0.2174,46,0.1957,0.4565,31,0.129,0.3871
2025-08,63,0.4603,-0.1905,27,0.1111,0.4444,27,0.1481,0.5185
2025-09,58,0.3448,-0.069,31,0.2258,0.4516,26,0.1154,0.5385
2025-10,55,0.4727,-0.2727,32,0.2188,0.25,25,0.08,0.6
2025-11,66,0.4242,-0.1818,31,0.1935,0.4194,30,0.1333,0.4333
2025-12,76,0.3947,-0.1316,35,0.3143,0.2,17,0.1765,0.4706
2026-01,80,0.475,-0.275,31,0.1935,0.3871,10,0.1,0.7
2026-02,72,0.3333,-0.1667,32,0.125,0.4688,19,0.2105,0.2632
2026-03,89,0.382,-0.2022,21,0.4286,-0.0476,28,0.1786,0.4643
2026-04,95,0.4842,-0.3368,28,0.2143,0.2857,13,0.2308,0.3077
2026-05,89,0.5618,-0.4607,29,0.3793,0.1034,14,0.1429,0.2143
2026-06,90,0.5222,-0.3556,35,0.3429,0.2,9,0.5556,-0.2222
