quarter,local_n,local_negative_share,local_net_sentiment,national_n,national_negative_share,national_net_sentiment,trade_n,trade_negative_share,trade_net_sentiment
2022-Q1,51,0.2157,0.4314,46,0.1304,0.6957,168,0.1131,0.5476
2022-Q2,57,0.1579,0.4737,62,0.0645,0.7903,139,0.0719,0.6906
2022-Q3,62,0.5645,-0.2581,61,0.2787,0.3607,150,0.1933,0.38
2022-Q4,45,0.3556,0.0222,67,0.1343,0.6119,157,0.1465,0.4841
2023-Q1,75,0.2667,0.1067,62,0.1613,0.5484,151,0.1258,0.5099
2023-Q2,71,0.2254,0.3662,65,0.1538,0.4769,135,0.0444,0.5333
2023-Q3,80,0.1625,0.3125,61,0.2131,0.2951,141,0.1064,0.4255
2023-Q4,63,0.1587,0.3651,75,0.1333,0.52,180,0.1111,0.5222
2024-Q1,73,0.1918,0.3836,81,0.1111,0.5802,174,0.0747,0.5345
2024-Q2,96,0.2708,0.2708,90,0.2,0.4778,146,0.0548,0.5753
2024-Q3,108,0.2315,0.2315,84,0.2024,0.4405,151,0.0662,0.6424
2024-Q4,77,0.3377,0.1558,121,0.2149,0.3884,158,0.0949,0.5316
2025-Q1,102,0.3333,-0.0196,99,0.1212,0.6364,164,0.1341,0.3963
2025-Q2,141,0.305,0.0851,82,0.1585,0.5,124,0.1129,0.5081
2025-Q3,167,0.4192,-0.1557,104,0.1827,0.4519,84,0.131,0.4762
2025-Q4,197,0.4264,-0.1878,98,0.2449,0.2857,72,0.125,0.5
2026-Q1,241,0.3983,-0.2158,84,0.2262,0.3095,57,0.1754,0.4386
2026-Q2,274,0.5219,-0.3832,92,0.3152,0.1957,36,0.2778,0.1389
