domain,n_rows,outlet_type
datacenterdynamics.com,755,trade
prnewswire.com,322,wire_pr
datacenterknowledge.com,198,trade
finanznachrichten.de,141,wire_pr
openpr.com,135,wire_pr
finance.yahoo.com,130,wire_pr
globenewswire.com,114,wire_pr
marketscreener.com,105,wire_pr
menafn.com,98,wire_pr
itnewsonline.com,77,trade
telecom.economictimes.indiatimes.com,64,trade
economictimes.indiatimes.com,59,national
insidermonkey.com,56,national
developingtelecoms.com,55,trade
manilatimes.net,48,national
markets.financialcontent.com,46,wire_pr
theregister.com,44,trade
techradar.com,43,national
insidenova.com,38,local
itwire.com,37,trade
digitimes.com,34,trade
crn.com,33,trade
forbes.com,33,national
computerweekly.com,32,trade
thestar.com.my,28,national
thehindubusinessline.com,27,national
it-online.co.za,27,trade
yahoo.com,26,wire_pr
businesstimes.com.sg,26,national
bnnbloomberg.ca,25,national
tomshardware.com,25,national
thefastmode.com,25,trade
networkworld.com,24,trade
cnbc.com,24,national
businesswire.com,23,wire_pr
bloomberg.com,23,national
benzinga.com,23,national
infotechlead.com,23,trade
potomaclocal.com,22,local
livemint.com,22,national
irishtimes.com,22,national
datacenterfrontier.com,21,trade
constructiondive.com,21,trade
tmcnet.com,21,wire_pr
msn.com,20,wire_pr
padovanews.it,20,wire_pr
thehindu.com,20,national
seekingalpha.com,20,national
networkcomputing.com,20,trade
eenews.net,20,trade
crn.com.au,19,trade
hpcwire.com,19,trade
siliconangle.com,19,trade
digitaljournal.com,18,wire_pr
lightreading.com,18,trade
timesofindia.indiatimes.com,18,national
webpronews.com,17,trade
govtech.com,17,trade
moneycontrol.com,17,national
businesspost.ie,16,national
business-standard.com,16,national
insidehpc.com,16,trade
fauquier.com,16,local
aninews.in,16,wire_pr
utilitydive.com,16,trade
siliconindia.com,15,trade
fool.com,15,national
afr.com,15,national
bangkokpost.com,15,national
reseller.co.nz,15,trade
dealstreetasia.com,15,trade
itnews.com.au,14,trade
bnamericas.com,14,trade
en.antaranews.com,14,wire_pr
chicagotribune.com,14,local
financialexpress.com,14,national
thetimes-tribune.com,14,local
marketwatch.com,13,national
markets.businessinsider.com,13,wire_pr
wallstreet-online.de,13,wire_pr
fortune.com,13,national
bworldonline.com,12,national
wfmz.com,12,local
dailyherald.com,12,local
zawya.com,12,wire_pr
philstar.com,12,national
siliconrepublic.com,12,trade
bisnow.com,12,trade
zerohedge.com,12,other
techcrunch.com,12,national
jdsupra.com,12,other
ptinews.com,12,wire_pr
biztimes.com,12,local
itbusinessnet.com,12,wire_pr
investors.com,12,national
telecompaper.com,11,trade
totaltele.com,11,trade
capacitymedia.com,11,trade
african.business,11,national
therealdeal.com,11,trade
newswiretoday.com,11,wire_pr
fauquiernow.com,11,local
theverge.com,11,national
independent.ie,11,national
wjla.com,11,local
fredericknewspost.com,10,local
eagletribune.com,10,local
rcrwireless.com,10,trade
sydneysun.com,10,wire_pr
wtop.com,10,local
vietnamtribune.com,10,wire_pr
philippinetimes.com,10,wire_pr
news.yahoo.com,10,wire_pr
chicagobusiness.com,10,local
markets.buffalonews.com,10,wire_pr
article.wn.com,10,wire_pr
theglobeandmail.com,10,national
channelnewsasia.com,10,national
thailand-business-news.com,10,national
itweb.co.za,10,trade
marcellusdrilling.com,10,trade
texasguardian.com,9,wire_pr
indiagazette.com,9,national
informationweek.com,9,trade
australiannews.net,9,wire_pr
asia.nikkei.com,9,national
powermag.com,9,trade
fredericksburg.com,9,local
rte.ie,9,national
businessinsider.com,9,national
venturebeat.com,9,trade
straitstimes.com,9,national
oilprice.com,9,trade
naturalgasintel.com,9,trade
wpr.org,9,local
newyorktelegraph.com,8,wire_pr
itpro.co.uk,8,trade
bignewsnetwork.com,8,wire_pr
waterford-news.ie,8,local
