month,article_count,avg_tone
2022-01,838,1.0903
2022-02,849,1.4958
2022-03,985,1.5065
2022-04,989,1.4497
2022-05,844,1.2662
2022-06,853,1.6089
2022-07,760,1.0509
2022-08,937,0.5359
2022-09,849,1.2553
2022-10,673,1.2772
2022-11,816,1.1996
2022-12,793,1.0283
2023-01,746,1.0449
2023-02,895,0.7713
2023-03,750,1.5193
2023-04,831,1.4199
2023-05,1167,1.5453
2023-06,1158,1.3711
2023-07,904,1.5246
2023-08,918,1.2333
2023-09,957,1.4868
2023-10,910,1.5409
2023-11,888,1.4479
2023-12,762,1.8595
2024-01,949,1.6921
2024-02,863,1.4634
2024-03,1166,1.8005
2024-04,1159,1.322
2024-05,1665,1.3652
2024-06,1452,1.0936
2024-07,1334,1.2018
2024-08,1334,1.2562
2024-09,1709,1.1925
2024-10,1832,1.5622
2024-11,1581,1.4844
2024-12,1676,1.2677
2025-01,2234,1.1297
2025-02,1826,1.2349
2025-03,1649,1.4156
2025-04,2009,0.8773
2025-05,1839,1.149
2025-06,941,1.2162
2025-07,2425,1.0643
2025-08,2276,0.8848
2025-09,2940,0.9432
2025-10,3649,0.9499
2025-11,3662,0.8603
2025-12,3596,0.3229
2026-01,4118,0.0936
2026-02,5039,0.3638
2026-03,5694,-0.0421
2026-04,5585,-0.2798
2026-05,6947,-0.2896
2026-06,9120,-0.3516
