month,n_sampled,n_relevant,positive_share,negative_share,neutral_share,net_sentiment,theme_energy_grid,theme_environment_water,theme_community_opposition,theme_investment_buildout,theme_jobs_economy,theme_policy_regulation,theme_tech_operations,theme_other
2022-01,150,135,0.7704,0.0741,0.1556,0.6963,0.0593,0.0222,0.0444,0.6741,0.0148,0.0222,0.1185,0.0444
2022-02,150,137,0.7007,0.0876,0.2117,0.6131,0.1022,0.0657,0.0292,0.5839,0.0,0.0803,0.1314,0.0073
2022-03,150,137,0.6934,0.1168,0.1898,0.5766,0.0073,0.073,0.0365,0.6423,0.0438,0.0803,0.1095,0.0073
2022-04,150,146,0.7055,0.0274,0.2671,0.6781,0.0342,0.0548,0.0205,0.7192,0.0068,0.0342,0.1164,0.0137
2022-05,150,138,0.7464,0.0942,0.1594,0.6522,0.1087,0.0435,0.0145,0.6739,0.0217,0.0507,0.087,0.0
2022-06,150,129,0.5969,0.0853,0.3178,0.5116,0.1008,0.031,0.031,0.6744,0.0078,0.031,0.093,0.031
2022-07,150,143,0.5175,0.1399,0.3427,0.3776,0.0979,0.0769,0.021,0.5664,0.014,0.0699,0.1399,0.014
2022-08,150,142,0.5634,0.3028,0.1338,0.2606,0.0634,0.0986,0.1268,0.5141,0.0141,0.0141,0.169,0.0
2022-09,150,141,0.6596,0.1489,0.1915,0.5106,0.0496,0.078,0.0851,0.4681,0.0142,0.0142,0.2695,0.0213
2022-10,150,139,0.6547,0.1511,0.1942,0.5036,0.1079,0.0288,0.0576,0.5036,0.0144,0.0216,0.2446,0.0216
2022-11,150,137,0.6788,0.0949,0.2263,0.5839,0.1168,0.073,0.0511,0.4964,0.0219,0.0292,0.2044,0.0073
2022-12,150,146,0.6301,0.1301,0.2397,0.5,0.0616,0.0685,0.0342,0.5959,0.0137,0.0342,0.1575,0.0342
2023-01,150,143,0.7063,0.0629,0.2308,0.6434,0.0769,0.035,0.042,0.6783,0.014,0.049,0.1049,0.0
2023-02,150,142,0.4366,0.1901,0.3732,0.2465,0.0634,0.0423,0.0704,0.5915,0.0,0.0634,0.1549,0.0141
2023-03,150,137,0.5693,0.1022,0.3285,0.4672,0.0511,0.0949,0.0365,0.5693,0.0365,0.0365,0.1387,0.0365
2023-04,150,139,0.7194,0.0576,0.223,0.6619,0.0647,0.1439,0.0216,0.5324,0.036,0.036,0.1295,0.036
2023-05,150,137,0.6715,0.0292,0.2993,0.6423,0.0365,0.0438,0.0073,0.6496,0.0657,0.0,0.1825,0.0146
2023-06,150,137,0.4672,0.1752,0.3577,0.292,0.0949,0.0511,0.073,0.5182,0.0219,0.073,0.1241,0.0438
2023-07,150,140,0.4357,0.1429,0.4214,0.2929,0.0714,0.0429,0.0357,0.5429,0.0357,0.0429,0.1929,0.0357
2023-08,150,141,0.5461,0.0709,0.383,0.4752,0.0567,0.0851,0.0355,0.5461,0.0213,0.0284,0.2199,0.0071
2023-09,150,142,0.5704,0.0986,0.331,0.4718,0.0563,0.0352,0.0211,0.6408,0.0211,0.0704,0.1549,0.0
2023-10,150,144,0.6806,0.125,0.1944,0.5556,0.0139,0.0556,0.0139,0.5069,0.0208,0.0417,0.3472,0.0
2023-11,150,134,0.6493,0.0746,0.2761,0.5746,0.0522,0.0597,0.0224,0.6045,0.0,0.0672,0.1567,0.0373
2023-12,150,141,0.6099,0.0993,0.2908,0.5106,0.0638,0.0426,0.0922,0.4681,0.0426,0.0213,0.2624,0.0071
2024-01,150,139,0.6043,0.1007,0.295,0.5036,0.1223,0.0576,0.0432,0.5468,0.0072,0.036,0.1295,0.0576
2024-02,150,137,0.5693,0.1168,0.3139,0.4526,0.0949,0.0292,0.0146,0.4818,0.0219,0.0657,0.2555,0.0365
2024-03,150,139,0.6619,0.0576,0.2806,0.6043,0.0576,0.0,0.0144,0.6906,0.0144,0.0791,0.1367,0.0072
2024-04,150,135,0.5778,0.0741,0.3481,0.5037,0.0963,0.0519,0.0222,0.5556,0.0222,0.0148,0.2222,0.0148
2024-05,150,138,0.6739,0.0942,0.2319,0.5797,0.1304,0.029,0.0435,0.5725,0.0217,0.0362,0.1594,0.0072
