month,article_count,days_with_data,avg_daily_volume_pct,avg_tone
2022-01,5257,31,0.052055,1.2522
2022-02,5248,28,0.054682,1.2511
2022-03,6614,31,0.064826,1.1969
2022-04,5469,30,0.056688,1.415
2022-05,5817,31,0.05913,1.5319
2022-06,5394,30,0.057391,1.3116
2022-07,4743,31,0.051345,0.9841
2022-08,5734,31,0.063504,0.7023
2022-09,5557,30,0.063449,1.3594
2022-10,5802,31,0.065825,0.984
2022-11,5535,30,0.067128,0.9838
2022-12,4981,31,0.059801,0.8784
2023-01,5095,31,0.059349,1.0757
2023-02,5643,28,0.069142,1.0203
2023-03,4751,30,0.061936,1.3839
2023-04,2975,30,0.058382,1.2278
2023-05,3923,31,0.06615,1.4349
2023-06,3482,30,0.062799,1.1549
2023-07,2905,31,0.054722,1.3295
2023-08,3545,31,0.067085,1.4072
2023-09,3391,30,0.06556,1.4691
2023-10,3041,31,0.06328,1.5119
2023-11,3083,30,0.063451,1.4334
2023-12,2986,31,0.058717,1.7832
2024-01,2967,31,0.062586,1.4507
2024-02,3903,29,0.078411,1.3458
2024-03,4642,31,0.087255,1.0612
2024-04,4638,30,0.087292,1.2072
2024-05,5008,31,0.10041,1.3466
2024-06,5396,30,0.101898,1.5893
2024-07,4867,31,0.09193,1.0939
2024-08,4581,31,0.0925,1.3639
2024-09,5456,30,0.102057,1.3764
2024-10,5185,31,0.101596,1.4918
2024-11,4854,30,0.096341,1.4732
2024-12,4612,31,0.089127,1.2298
2025-01,7433,31,0.152596,0.9614
2025-02,5957,28,0.13525,1.1572
2025-03,5816,31,0.116865,1.2187
2025-04,6016,30,0.119528,0.7436
2025-05,6063,31,0.119016,0.9674
2025-06,3042,14,0.127591,1.0914
2025-07,8152,30,0.160401,0.9848
2025-08,7505,31,0.143677,0.8297
2025-09,8754,30,0.170406,0.9065
2025-10,10681,31,0.200829,0.6877
2025-11,10661,30,0.210667,0.8412
2025-12,11614,31,0.242133,0.4047
2026-01,11428,31,0.24542,0.549
2026-02,10165,28,0.281957,0.4699
2026-03,11888,31,0.247039,0.1274
2026-04,11918,30,0.256049,0.2067
2026-05,14218,31,0.312042,0.2835
2026-06,16815,30,0.37318,0.2015
