id,relevant,sentiment,theme
121,no,neutral,other
122,yes,positive,investment_buildout
123,no,neutral,other
124,no,neutral,other
125,no,neutral,other
126,no,neutral,other
127,yes,neutral,investment_buildout
128,no,neutral,other
129,no,neutral,other
130,no,neutral,other
131,no,neutral,other
132,no,neutral,other
133,yes,positive,tech_operations
134,yes,neutral,tech_operations
135,no,neutral,other
136,yes,positive,tech_operations
137,no,neutral,other
138,no,neutral,other
139,no,neutral,other
140,no,neutral,other
141,yes,positive,investment_buildout
142,yes,negative,energy_grid
143,no,neutral,other
144,no,neutral,other
145,no,neutral,other
146,yes,positive,investment_buildout
147,no,neutral,other
148,yes,positive,energy_grid
149,no,neutral,other
150,no,neutral,other
151,no,neutral,other
152,no,neutral,other
153,no,neutral,other
154,no,neutral,other
155,no,neutral,other
156,no,neutral,other
157,no,neutral,other
158,no,neutral,other
159,no,neutral,other
160,no,neutral,other
161,no,neutral,other
162,no,neutral,other
163,no,neutral,other
164,no,neutral,other
165,yes,neutral,community_opposition
166,no,neutral,other
167,no,neutral,other
168,no,neutral,other
169,no,neutral,other
170,no,neutral,other
171,yes,positive,investment_buildout
172,no,neutral,other
173,no,neutral,other
174,yes,neutral,tech_operations
175,no,neutral,other
176,no,neutral,other
177,no,neutral,other
178,no,neutral,other
179,no,neutral,other
180,no,neutral,other
181,no,neutral,other
182,no,neutral,other
183,no,neutral,other
184,no,neutral,other
185,no,neutral,other
186,no,neutral,other
187,no,neutral,other
188,no,neutral,other
189,no,neutral,other
190,no,neutral,other
191,no,neutral,other
192,no,neutral,other
193,no,neutral,other
194,no,neutral,other
195,no,neutral,other
196,no,neutral,other
197,no,neutral,other
198,no,neutral,other
199,no,neutral,other
200,no,neutral,other
201,no,neutral,other
202,no,neutral,other
203,no,neutral,other
204,no,neutral,other
205,no,neutral,other
206,no,neutral,other
207,no,neutral,other
208,no,neutral,other
209,yes,positive,investment_buildout
210,yes,positive,investment_buildout
211,no,neutral,other
212,yes,negative,tech_operations
213,no,neutral,other
214,yes,positive,investment_buildout
215,no,neutral,other
216,no,neutral,other
217,no,neutral,other
218,no,neutral,other
219,no,neutral,other
220,yes,positive,investment_buildout
221,yes,positive,investment_buildout
222,no,neutral,other
223,no,neutral,other
224,yes,neutral,energy_grid
225,yes,positive,investment_buildout
226,no,neutral,other
227,no,neutral,other
228,no,neutral,other
229,no,neutral,other
230,no,neutral,other
231,no,neutral,other
232,no,neutral,other
233,no,neutral,other
234,no,neutral,other
235,no,neutral,other
236,no,neutral,other
237,no,neutral,other
238,yes,negative,investment_buildout
239,no,neutral,other
240,no,neutral,other
