id,relevant,sentiment,theme
3751,yes,neutral,policy_regulation
3752,yes,negative,environment_water
3753,yes,positive,investment_buildout
3754,yes,negative,environment_water
3755,yes,neutral,policy_regulation
3756,yes,negative,environment_water
3757,yes,negative,policy_regulation
3758,yes,neutral,policy_regulation
3759,yes,neutral,community_opposition
3760,yes,negative,environment_water
3761,yes,neutral,policy_regulation
3762,yes,negative,community_opposition
3763,yes,neutral,policy_regulation
3764,yes,negative,environment_water
3765,yes,negative,policy_regulation
3766,yes,negative,investment_buildout
3767,yes,negative,environment_water
3768,yes,negative,policy_regulation
3769,yes,negative,policy_regulation
3770,yes,neutral,policy_regulation
3771,yes,negative,policy_regulation
3772,yes,neutral,environment_water
3773,yes,negative,community_opposition
3774,yes,negative,community_opposition
3775,yes,neutral,policy_regulation
3776,yes,negative,community_opposition
3777,yes,negative,policy_regulation
3778,yes,negative,community_opposition
3779,yes,negative,environment_water
3780,yes,negative,policy_regulation
3781,yes,neutral,policy_regulation
3782,no,neutral,other
3783,yes,neutral,investment_buildout
3784,yes,negative,policy_regulation
3785,yes,positive,other
3786,yes,negative,policy_regulation
3787,yes,negative,jobs_economy
3788,yes,negative,energy_grid
3789,yes,neutral,policy_regulation
3790,yes,neutral,other
3791,no,neutral,other
3792,yes,neutral,investment_buildout
3793,yes,negative,policy_regulation
3794,yes,negative,community_opposition
3795,yes,neutral,environment_water
3796,yes,negative,community_opposition
3797,yes,negative,environment_water
3798,yes,negative,policy_regulation
3799,yes,negative,community_opposition
3800,no,neutral,other
3801,yes,negative,policy_regulation
3802,yes,negative,environment_water
3803,yes,negative,policy_regulation
3804,yes,negative,environment_water
3805,yes,negative,community_opposition
3806,yes,positive,policy_regulation
3807,yes,positive,tech_operations
3808,yes,negative,policy_regulation
3809,yes,negative,environment_water
3810,yes,neutral,environment_water
3811,yes,neutral,investment_buildout
3812,yes,negative,environment_water
3813,yes,negative,investment_buildout
3814,yes,positive,tech_operations
3815,yes,neutral,policy_regulation
3816,yes,negative,community_opposition
3817,yes,negative,energy_grid
3818,yes,negative,community_opposition
3819,yes,neutral,environment_water
3820,yes,negative,energy_grid
3821,yes,positive,policy_regulation
3822,yes,negative,community_opposition
3823,yes,positive,policy_regulation
3824,yes,neutral,environment_water
3825,yes,negative,energy_grid
3826,yes,neutral,environment_water
3827,yes,negative,environment_water
3828,yes,negative,policy_regulation
3829,yes,neutral,other
3830,yes,neutral,policy_regulation
3831,yes,positive,investment_buildout
3832,yes,neutral,policy_regulation
3833,yes,negative,policy_regulation
3834,yes,neutral,policy_regulation
3835,yes,negative,environment_water
3836,yes,neutral,policy_regulation
3837,yes,negative,policy_regulation
3838,yes,negative,environment_water
3839,yes,positive,environment_water
3840,yes,neutral,policy_regulation
3841,yes,neutral,policy_regulation
3842,yes,neutral,investment_buildout
3843,yes,negative,policy_regulation
3844,yes,negative,investment_buildout
3845,yes,neutral,policy_regulation
3846,yes,negative,investment_buildout
3847,yes,neutral,tech_operations
3848,yes,negative,environment_water
3849,yes,positive,other
3850,yes,neutral,other
3851,yes,negative,environment_water
3852,yes,negative,community_opposition
3853,yes,neutral,policy_regulation
3854,yes,negative,environment_water
3855,yes,neutral,other
3856,yes,negative,environment_water
3857,yes,negative,environment_water
3858,yes,negative,policy_regulation
3859,yes,positive,energy_grid
3860,no,neutral,other
3861,yes,negative,investment_buildout
3862,yes,negative,policy_regulation
3863,yes,negative,policy_regulation
3864,yes,neutral,policy_regulation
3865,yes,negative,policy_regulation
3866,yes,negative,environment_water
3867,yes,positive,energy_grid
3868,yes,neutral,policy_regulation
3869,yes,negative,environment_water
3870,yes,negative,policy_regulation
3871,yes,positive,policy_regulation
3872,yes,positive,policy_regulation
3873,yes,negative,policy_regulation
3874,no,neutral,other
3875,yes,negative,policy_regulation
3876,yes,neutral,policy_regulation
3877,no,neutral,other
3878,yes,neutral,policy_regulation
3879,yes,positive,environment_water
3880,yes,negative,environment_water
3881,yes,negative,community_opposition
3882,yes,negative,environment_water
3883,no,neutral,other
3884,yes,negative,environment_water
3885,yes,positive,policy_regulation
3886,yes,positive,policy_regulation
3887,no,neutral,other
3888,yes,negative,community_opposition
3889,yes,positive,policy_regulation
3890,yes,negative,energy_grid
3891,yes,neutral,other
3892,yes,positive,policy_regulation
3893,no,neutral,other
3894,yes,negative,community_opposition
3895,yes,positive,policy_regulation
3896,yes,positive,policy_regulation
3897,yes,positive,policy_regulation
3898,no,neutral,other
3899,no,neutral,other
3900,yes,positive,policy_regulation
3901,yes,positive,policy_regulation
3902,yes,negative,environment_water
3903,yes,negative,tech_operations
3904,yes,negative,community_opposition
3905,yes,positive,energy_grid
3906,yes,neutral,other
3907,yes,negative,environment_water
3908,yes,negative,community_opposition
3909,no,neutral,other
3910,yes,negative,community_opposition
3911,no,neutral,other
3912,yes,positive,jobs_economy
3913,yes,negative,community_opposition
3914,yes,negative,policy_regulation
3915,yes,negative,policy_regulation
3916,yes,neutral,energy_grid
3917,no,neutral,other
3918,yes,positive,tech_operations
3919,yes,neutral,policy_regulation
3920,yes,positive,policy_regulation
3921,yes,neutral,energy_grid
3922,yes,positive,investment_buildout
3923,yes,negative,community_opposition
3924,yes,positive,jobs_economy
3925,yes,neutral,environment_water
3926,yes,positive,community_opposition
3927,yes,negative,policy_regulation
3928,yes,neutral,policy_regulation
3929,yes,neutral,investment_buildout
3930,yes,neutral,policy_regulation
3931,yes,negative,policy_regulation
3932,yes,negative,community_opposition
3933,yes,negative,community_opposition
3934,yes,negative,environment_water
3935,yes,negative,policy_regulation
3936,yes,negative,community_opposition
3937,yes,negative,policy_regulation
3938,yes,negative,community_opposition
3939,yes,negative,policy_regulation
3940,yes,positive,policy_regulation
3941,yes,positive,policy_regulation
3942,yes,negative,environment_water
