domain,n_rows,outlet_type
mybroadband.co.za,2,trade
investmentwatchblog.com,2,other
mactech.com,2,trade
kcentv.com,2,local
sfgate.com,2,local
realassets.ipe.com,2,trade
princewilliamtimes.com,2,local
huewire.com,2,trade
ksisradio.com,2,local
sandiegouniontribune.com,2,local
theedgemarkets.com,2,national
yorknewstimes.com,2,local
sunstar.com.ph,2,national
thetradenews.com,2,trade
clevelandstar.com,2,wire_pr
jsa.net,2,trade
bakersfield.com,2,local
itbusiness.ca,2,trade
greekherald.com,2,wire_pr
ummid.com,2,national
lagrandeobserver.com,2,local
easternmirrornagaland.com,2,local
thebulltulsa.com,2,local
desmoinesregister.com,2,local
waterstechnology.com,2,trade
dallassun.com,2,wire_pr
vietnamnet.vn,2,national
mtpr.org,2,local
pittsburghstar.com,2,wire_pr
infotel.ca,2,local
caixinglobal.com,2,national
baltimorestar.com,2,wire_pr
gjsentinel.com,2,local
siouxcityjournal.com,2,local
pressreleasepoint.com,2,wire_pr
parisguardian.com,2,wire_pr
virginiamercury.com,2,local
wrvo.org,2,local
wxpr.org,2,local
en.prnasia.com,2,wire_pr
investegate.co.uk,2,wire_pr
milwaukeesun.com,2,wire_pr
vanillaplus.com,2,trade
caledonianrecord.com,2,local
tribuneindia.com,2,national
in.gr,2,national
cbn.co.za,2,local
greekcitytimes.com,2,national
fdiintelligence.com,2,trade
kpq.com,2,local
greenbiz.com,2,trade
jacksonprogress-argus.com,2,local
guampdn.com,2,local
eastvalleytribune.com,2,local
crainsdetroit.com,2,local
archinect.com,2,trade
community.scoop.co.nz,2,wire_pr
djcoregon.com,2,trade
pctechmag.com,2,trade
dailytimes.com.pk,2,national
bdtonline.com,2,local
devdiscourse.com,2,national
hapakenya.com,2,trade
garoweonline.com,2,national
morungexpress.com,2,local
thedailytimes.com,2,local
bgdailynews.com,2,local
thestandard.com.hk,2,national
restonnow.com,2,local
thestandard.co.zw,2,national
leadertelegram.com,2,local
donegallive.ie,2,local
techcabal.com,2,trade
timesdaily.com,2,local
tipperarylive.ie,2,local
dbta.com,2,trade
niagarafallsreporter.com,2,local
al-monitor.com,2,national
thisislocallondon.co.uk,2,local
ispreview.co.uk,2,trade
londonmercury.com,2,wire_pr
virtual-strategy.com,2,wire_pr
monitor.co.ug,2,national
nextbigwhat.com,2,trade
caribbeanherald.com,2,wire_pr
guru3d.com,2,trade
anandtech.com,2,trade
madison.com,2,local
theage.com.au,2,national
journal-topics.com,2,local
timesnownews.com,2,national
nbcrightnow.com,2,local
nbc4i.com,2,local
wnewsj.com,2,local
nytimes.com,2,national
longfordleader.ie,2,local
bilkulonline.com,2,national
starherald.com,2,local
wset.com,2,local
wlip.com,2,local
finanzen.at,2,wire_pr
columbiabasinherald.com,2,local
yourstory.com,2,trade
thereminder.ca,2,local
kait8.com,2,local
anglocelt.ie,2,local
pehub.com,2,trade
engineering-jobs.theiet.org,2,other
propakistani.pk,2,trade
gazette.com,2,local
wcbe.org,2,local
architectureanddesign.com.au,2,trade
dailyyonder.com,2,national
ein.iconnect007.com,2,trade
wsaz.com,2,local
newyorkstatesman.com,2,wire_pr
china-briefing.com,2,trade
insideevs.com,2,trade
timesnews.net,2,local
diginomica.com,2,trade
knau.org,2,local
dentonrc.com,2,local
borneobulletin.com.bn,2,national
offalyindependent.ie,2,local
dailytidings.com,2,local
johnogroat-journal.co.uk,2,local
mprnews.org,2,local
swfinstitute.org,2,trade
whig.com,2,local
reuters.com,2,national
channeleye.co.uk,2,trade
ghanamma.com,2,national
jamaicantimes.com,2,wire_pr
climatecontrolnews.com.au,2,trade
modernreaders.com,2,wire_pr
albawaba.com,2,national
bdcnetwork.com,2,trade
zimbabwestar.com,2,wire_pr
eurasiareview.com,2,national
industryweek.com,2,trade
krcrtv.com,2,local
kvue.com,2,local
investopedia.com,2,national
cointelegraph.com,2,trade
kfyrtv.com,2,local
theweek.in,2,national
circleid.com,2,trade
foxnews.com,2,national
us.cnn.com,2,national
globalconstructionreview.com,2,trade
