domain,n_rows,outlet_type
knoxradio.com,2,local
maribyrnonghobsonsbay.starweekly.com.au,1,local
wkzo.com,3,local
indiatvnews.com,2,national
newswire.ca,1,wire_pr
wjcl.com,1,local
hothardware.com,4,trade
hometown-pages.com,3,wire_pr
wgauradio.com,1,local
theworldfolio.com,1,other
wzzm13.com,1,local
chroniclelive.co.uk,1,local
ghanaiantimes.com.gh,1,national
saudigazette.com.sa,3,national
richmond.com,7,local
limerickleader.ie,1,local
ibtimes.co.in,2,national
itp.net,3,trade
laosnews.net,3,other
ideastream.org,1,local
journal.com.ph,1,national
neworleanscitybusiness.com,3,local
mykiss1031.com,1,local
republicanherald.com,2,local
techcrunch.com,12,national
thisislocallondon.co.uk,2,local
charkoosta.com,1,local
king5.com,1,local
witf.org,1,local
kkoh.com,1,local
krcu.org,1,local
indianapolisrecorder.com,1,local
aei.org,1,other
yorkshirepost.co.uk,1,local
pv-tech.org,2,trade
wypr.org,1,local
thewest.com.au,1,local
wcbe.org,2,local
gamepur.com,1,trade
rubbernews.com,1,trade
krmg.com,1,local
tucsonsentinel.com,1,local
telecom.economictimes.indiatimes.com,64,trade
maritime-executive.com,1,trade
justmeans.com,1,wire_pr
upr.org,2,local
rte.ie,9,national
naftemporiki.gr,2,national
khits.com,1,local
981thehawk.com,1,local
thepeninsulaqatar.com,3,national
constructionweekonline.in,1,trade
2merkato.com,1,national
science.thewire.in,1,national
vietnam-briefing.com,1,trade
kfox95.com,1,local
atlantanewsfirst.com,1,local
tribune.net.ph,1,national
fool.com,15,national
tonyskansascity.com,2,local
cityfarmer.info,1,other
rejournals.com,3,trade
wafb.com,1,local
thedailystar.net,2,national
themarketsdaily.com,1,wire_pr
jcnnewswire.com,6,wire_pr
asia.nikkei.com,9,national
ey.com,1,other
batemansbaypost.com.au,2,local
vindy.com,1,local
lasvegassun.com,1,local
wvtm13.com,2,local
thebatavian.com,3,local
defence.pk,1,other
wglt.org,1,local
windpowermonthly.com,1,trade
washtimesherald.com,1,local
mitchellrepublic.com,1,local
sloughobserver.co.uk,4,local
techcabal.com,2,trade
thecentersquare.com,1,national
wmuk.org,1,local
wrdw.com,2,local
betanews.com,5,trade
huewire.com,2,wire_pr
ptinews.com,12,national
wtov9.com,1,local
en.shafaqna.com,1,national
westernwheel.ca,1,local
dglobe.com,1,local
campustechnology.com,1,trade
romfordrecorder.co.uk,4,local
thenews-chronicle.com,3,national
cleantechnica.com,3,trade
gizmochina.com,1,trade
theleader.com.au,2,local
crainsdetroit.com,2,local
newarkpostonline.com,1,local
kansaspublicradio.org,1,local
