id,relevant,sentiment,theme
111,no,neutral,other
499,no,neutral,other
1074,no,neutral,other
1066,no,neutral,other
673,no,neutral,other
471,no,neutral,other
541,no,neutral,other
323,no,neutral,other
1032,no,neutral,other
787,yes,neutral,tech_operations
670,no,neutral,other
14,no,neutral,other
215,no,neutral,other
168,no,neutral,other
325,no,neutral,other
980,yes,positive,investment_buildout
959,no,neutral,other
639,no,neutral,other
126,no,neutral,other
855,no,neutral,other
807,yes,neutral,tech_operations
376,no,neutral,other
286,yes,positive,tech_operations
420,yes,positive,jobs_economy
692,no,neutral,other
939,no,neutral,other
1124,no,neutral,other
185,no,neutral,other
918,no,neutral,other
655,yes,positive,investment_buildout
1100,no,neutral,other
1003,yes,neutral,environment_water
966,no,neutral,other
492,no,neutral,other
347,no,neutral,other
129,no,neutral,other
781,no,neutral,other
608,no,neutral,other
528,yes,neutral,investment_buildout
11,yes,positive,investment_buildout
965,no,neutral,other
90,no,neutral,other
1069,no,neutral,other
715,no,neutral,other
552,no,neutral,other
754,no,neutral,other
847,no,neutral,other
501,no,neutral,other
43,no,neutral,other
1105,no,neutral,other
890,no,neutral,other
770,no,neutral,other
1178,yes,positive,investment_buildout
1016,no,neutral,other
434,no,neutral,other
136,yes,positive,tech_operations
984,no,neutral,other
1106,no,neutral,other
892,no,neutral,other
1022,yes,positive,investment_buildout
457,no,neutral,other
8,no,neutral,other
47,no,neutral,other
1041,no,neutral,other
339,no,neutral,other
775,no,neutral,other
263,no,neutral,other
773,no,neutral,other
345,no,neutral,other
87,no,neutral,other
1068,no,neutral,other
279,no,neutral,other
438,no,neutral,other
470,no,neutral,other
584,no,neutral,other
169,no,neutral,other
26,no,neutral,other
874,no,neutral,other
824,no,neutral,other
679,no,neutral,other
178,no,neutral,other
57,no,neutral,other
854,yes,positive,investment_buildout
568,no,neutral,other
381,yes,positive,investment_buildout
956,no,neutral,other
1075,no,neutral,other
54,no,neutral,other
67,no,neutral,other
428,no,neutral,other
515,no,neutral,other
828,no,neutral,other
785,no,neutral,other
575,yes,positive,investment_buildout
1135,no,neutral,other
164,no,neutral,other
833,yes,positive,investment_buildout
596,yes,negative,environment_water
942,no,neutral,other
270,yes,negative,environment_water
726,no,neutral,other
92,no,neutral,other
1035,yes,positive,investment_buildout
934,no,neutral,other
63,no,neutral,other
156,no,neutral,other
1137,no,neutral,other
72,no,neutral,other
429,no,neutral,other
914,no,neutral,other
994,no,neutral,other
114,no,neutral,other
284,no,neutral,other
711,no,neutral,other
75,yes,positive,investment_buildout
350,no,neutral,other
506,no,neutral,other
848,no,neutral,other
759,no,neutral,other
1103,no,neutral,other
