id,relevant,sentiment,theme
3474,yes,positive,investment_buildout
8023,yes,negative,policy_regulation
3100,yes,positive,investment_buildout
5077,yes,positive,investment_buildout
250,yes,positive,energy_grid
6340,yes,negative,energy_grid
3419,yes,positive,investment_buildout
3228,yes,positive,energy_grid
7475,yes,neutral,policy_regulation
7957,yes,negative,energy_grid
3583,yes,negative,community_opposition
2297,yes,positive,jobs_economy
849,yes,positive,environment_water
260,yes,positive,investment_buildout
7187,yes,negative,community_opposition
5012,yes,negative,jobs_economy
7806,yes,positive,investment_buildout
664,yes,positive,investment_buildout
227,yes,positive,investment_buildout
3962,yes,positive,investment_buildout
4097,yes,neutral,investment_buildout
1931,yes,neutral,environment_water
5759,yes,neutral,tech_operations
1678,yes,positive,tech_operations
3716,yes,positive,energy_grid
4293,yes,positive,investment_buildout
3835,yes,neutral,tech_operations
3589,yes,neutral,investment_buildout
4300,yes,negative,community_opposition
1222,yes,positive,investment_buildout
5294,yes,negative,community_opposition
2720,yes,positive,investment_buildout
1114,yes,negative,community_opposition
3432,yes,positive,environment_water
2231,yes,negative,investment_buildout
237,yes,positive,investment_buildout
2556,yes,positive,investment_buildout
1733,yes,neutral,policy_regulation
1353,yes,neutral,investment_buildout
2881,yes,positive,investment_buildout
7116,yes,positive,investment_buildout
5408,yes,neutral,investment_buildout
5853,yes,positive,policy_regulation
6614,yes,positive,energy_grid
7873,no,neutral,other
207,yes,positive,investment_buildout
4397,yes,negative,tech_operations
7480,yes,neutral,tech_operations
1077,yes,positive,investment_buildout
3557,yes,negative,energy_grid
4930,yes,positive,investment_buildout
1949,yes,negative,environment_water
441,yes,negative,environment_water
2843,yes,positive,tech_operations
3300,yes,positive,investment_buildout
544,yes,positive,investment_buildout
1872,yes,positive,investment_buildout
215,yes,neutral,investment_buildout
6493,yes,neutral,energy_grid
4773,yes,negative,environment_water
7882,yes,neutral,policy_regulation
1297,yes,neutral,investment_buildout
2628,yes,positive,investment_buildout
2047,no,neutral,other
3864,yes,positive,investment_buildout
3138,yes,positive,investment_buildout
2269,yes,positive,investment_buildout
2153,yes,positive,jobs_economy
2715,yes,positive,environment_water
4419,yes,negative,tech_operations
4560,yes,positive,investment_buildout
287,yes,positive,investment_buildout
2026,no,neutral,other
6635,yes,negative,community_opposition
3012,yes,positive,investment_buildout
1378,no,neutral,other
6688,yes,positive,investment_buildout
7758,yes,positive,investment_buildout
1528,yes,negative,investment_buildout
4976,yes,positive,environment_water
3698,yes,positive,investment_buildout
32,yes,positive,investment_buildout
7049,yes,negative,energy_grid
5460,yes,neutral,energy_grid
5293,yes,neutral,tech_operations
503,yes,positive,investment_buildout
3225,yes,positive,investment_buildout
3332,yes,positive,investment_buildout
1976,no,neutral,other
5219,yes,negative,energy_grid
4161,yes,positive,investment_buildout
5573,yes,negative,investment_buildout
6640,yes,positive,tech_operations
5912,yes,positive,investment_buildout
6950,yes,negative,tech_operations
3702,yes,neutral,investment_buildout
4271,yes,negative,energy_grid
7668,yes,negative,community_opposition
3020,yes,negative,energy_grid
6863,yes,positive,tech_operations
5384,yes,negative,energy_grid
7066,yes,negative,energy_grid
7666,yes,neutral,energy_grid
8068,yes,negative,energy_grid
135,yes,negative,tech_operations
3494,yes,negative,community_opposition
5434,yes,positive,investment_buildout
256,yes,positive,investment_buildout
275,yes,negative,investment_buildout
693,yes,positive,investment_buildout
3414,yes,positive,investment_buildout
7568,yes,negative,policy_regulation
738,yes,negative,tech_operations
4276,yes,positive,investment_buildout
2490,yes,positive,energy_grid
6076,yes,positive,tech_operations
2298,no,neutral,other
6065,yes,positive,investment_buildout
3309,no,neutral,other
745,no,neutral,other
3124,yes,negative,tech_operations
7102,yes,positive,community_opposition
4537,yes,positive,investment_buildout
6135,yes,negative,tech_operations
187,yes,positive,investment_buildout
291,yes,neutral,tech_operations
1829,yes,positive,investment_buildout
85,yes,positive,investment_buildout
7171,yes,neutral,community_opposition
860,yes,positive,investment_buildout
5882,yes,positive,investment_buildout
3108,yes,negative,policy_regulation
7073,yes,positive,investment_buildout
1972,yes,negative,tech_operations
4105,no,neutral,other
1424,yes,negative,community_opposition
3428,yes,positive,investment_buildout
7532,yes,negative,community_opposition
1299,yes,positive,investment_buildout
5802,yes,positive,investment_buildout
2023,yes,positive,investment_buildout
4304,yes,positive,investment_buildout
984,yes,neutral,investment_buildout
2313,yes,positive,tech_operations
267,no,neutral,other
7997,yes,negative,community_opposition
4435,yes,positive,investment_buildout
5476,yes,positive,investment_buildout
7239,yes,negative,community_opposition
3385,yes,positive,investment_buildout
4256,yes,positive,other
5374,yes,positive,investment_buildout
7817,yes,neutral,tech_operations
3146,yes,neutral,tech_operations
1520,yes,positive,investment_buildout
6257,yes,positive,investment_buildout
945,yes,neutral,environment_water
456,yes,positive,investment_buildout
922,yes,positive,investment_buildout
2903,yes,neutral,tech_operations
8008,yes,neutral,policy_regulation
43,yes,positive,investment_buildout
6742,yes,negative,community_opposition
5400,yes,neutral,tech_operations
5938,yes,negative,energy_grid
53,yes,neutral,other
3919,yes,positive,investment_buildout
1083,yes,positive,investment_buildout
5653,yes,positive,investment_buildout
3090,yes,positive,investment_buildout
3996,yes,positive,investment_buildout
2703,yes,positive,investment_buildout
757,yes,positive,investment_buildout
4861,yes,positive,policy_regulation
3604,yes,neutral,energy_grid
6967,yes,negative,community_opposition
6082,yes,positive,tech_operations
4012,yes,neutral,policy_regulation
1996,yes,positive,investment_buildout
3015,yes,positive,investment_buildout
709,yes,positive,investment_buildout
6247,yes,positive,investment_buildout
4261,yes,positive,tech_operations
149,yes,positive,investment_buildout
5194,yes,positive,energy_grid
3080,yes,positive,investment_buildout
2112,yes,positive,environment_water
1712,yes,positive,investment_buildout
532,yes,positive,policy_regulation
3653,yes,positive,investment_buildout
5606,yes,positive,energy_grid
300,yes,positive,investment_buildout
6929,yes,neutral,policy_regulation
1882,yes,neutral,investment_buildout
3296,yes,positive,tech_operations
5585,yes,neutral,tech_operations
2248,yes,negative,policy_regulation
4496,yes,negative,energy_grid
7435,yes,positive,policy_regulation
2691,yes,positive,investment_buildout
