id,relevant,sentiment,theme
5059,yes,neutral,investment_buildout
4164,yes,positive,tech_operations
1298,yes,neutral,investment_buildout
5351,yes,negative,community_opposition
7855,yes,negative,community_opposition
171,yes,positive,investment_buildout
4088,yes,positive,investment_buildout
4063,yes,negative,energy_grid
1013,yes,positive,investment_buildout
1948,yes,neutral,environment_water
5981,yes,negative,energy_grid
3934,yes,positive,tech_operations
3862,yes,negative,policy_regulation
6738,yes,positive,investment_buildout
4557,yes,neutral,investment_buildout
1237,yes,positive,environment_water
794,no,neutral,other
508,yes,neutral,energy_grid
1156,yes,neutral,investment_buildout
6734,yes,negative,environment_water
7518,yes,positive,investment_buildout
4683,yes,positive,investment_buildout
2713,yes,neutral,investment_buildout
518,yes,positive,investment_buildout
438,yes,neutral,investment_buildout
1954,yes,positive,tech_operations
1447,no,neutral,other
4409,yes,neutral,investment_buildout
7498,no,neutral,other
2228,yes,positive,investment_buildout
5698,yes,positive,investment_buildout
6466,yes,positive,investment_buildout
4489,yes,negative,community_opposition
3858,yes,positive,tech_operations
3104,yes,positive,jobs_economy
3765,yes,neutral,other
5414,yes,positive,tech_operations
2162,yes,positive,tech_operations
775,yes,positive,investment_buildout
1052,yes,positive,investment_buildout
5830,yes,negative,energy_grid
104,yes,neutral,investment_buildout
1429,yes,positive,tech_operations
7766,yes,negative,policy_regulation
268,yes,positive,investment_buildout
6145,yes,positive,energy_grid
2731,yes,neutral,tech_operations
2575,yes,positive,investment_buildout
2057,yes,positive,investment_buildout
5736,yes,neutral,policy_regulation
1879,yes,neutral,investment_buildout
2678,yes,negative,community_opposition
2859,yes,positive,tech_operations
437,yes,positive,other
6150,yes,neutral,investment_buildout
7958,yes,positive,tech_operations
1715,yes,positive,investment_buildout
5158,yes,positive,environment_water
4137,yes,neutral,investment_buildout
6242,yes,negative,community_opposition
3568,yes,positive,investment_buildout
2666,yes,positive,environment_water
8053,yes,negative,policy_regulation
5169,yes,positive,investment_buildout
7604,yes,neutral,investment_buildout
4944,yes,positive,investment_buildout
6876,yes,negative,community_opposition
3213,yes,positive,investment_buildout
5340,yes,positive,investment_buildout
2435,yes,neutral,investment_buildout
5696,yes,positive,investment_buildout
5086,yes,positive,environment_water
3973,yes,positive,investment_buildout
5668,yes,positive,tech_operations
7149,yes,negative,community_opposition
3756,no,neutral,other
5485,yes,neutral,investment_buildout
5515,yes,positive,investment_buildout
5973,yes,negative,investment_buildout
2429,no,neutral,other
863,yes,positive,environment_water
4912,yes,neutral,energy_grid
4229,yes,neutral,tech_operations
1968,yes,negative,tech_operations
3483,yes,negative,environment_water
1061,yes,positive,investment_buildout
4123,yes,positive,investment_buildout
7763,yes,negative,community_opposition
2384,yes,neutral,tech_operations
5415,yes,neutral,tech_operations
6211,yes,positive,investment_buildout
5615,yes,positive,investment_buildout
2333,yes,positive,environment_water
6902,yes,positive,investment_buildout
5903,yes,positive,energy_grid
3672,no,neutral,other
25,yes,neutral,other
5489,yes,neutral,investment_buildout
4777,no,neutral,other
4170,yes,neutral,tech_operations
2620,no,neutral,other
4522,no,neutral,other
2357,yes,positive,tech_operations
7651,yes,neutral,investment_buildout
3293,yes,positive,tech_operations
1143,yes,positive,tech_operations
3628,yes,positive,tech_operations
7657,yes,neutral,investment_buildout
4538,yes,positive,investment_buildout
3854,yes,neutral,tech_operations
7496,yes,positive,investment_buildout
7504,yes,positive,investment_buildout
6748,yes,positive,investment_buildout
1398,yes,positive,tech_operations
5646,yes,positive,investment_buildout
6276,yes,positive,investment_buildout
1227,yes,neutral,investment_buildout
7707,yes,negative,community_opposition
6302,yes,positive,tech_operations
4712,yes,positive,energy_grid
2262,yes,neutral,investment_buildout
3036,yes,positive,investment_buildout
2205,yes,positive,investment_buildout
358,yes,positive,investment_buildout
6844,yes,positive,tech_operations
1926,yes,negative,policy_regulation
4817,yes,negative,community_opposition
4421,yes,positive,investment_buildout
1319,yes,neutral,tech_operations
514,yes,positive,investment_buildout
5062,yes,positive,investment_buildout
3200,no,neutral,other
4980,no,neutral,other
3746,yes,positive,investment_buildout
7143,yes,negative,energy_grid
2003,yes,neutral,policy_regulation
623,yes,positive,investment_buildout
7690,yes,positive,jobs_economy
5058,yes,positive,investment_buildout
2335,yes,positive,energy_grid
1751,no,neutral,other
4364,yes,positive,tech_operations
5894,yes,neutral,policy_regulation
793,yes,neutral,environment_water
6769,no,neutral,other
3735,yes,negative,community_opposition
2655,yes,positive,investment_buildout
1903,yes,neutral,investment_buildout
6174,yes,positive,investment_buildout
447,yes,positive,investment_buildout
509,yes,positive,investment_buildout
2901,no,neutral,other
4125,yes,positive,investment_buildout
366,yes,positive,investment_buildout
5846,yes,positive,investment_buildout
1828,yes,positive,energy_grid
8004,yes,negative,community_opposition
524,yes,neutral,investment_buildout
5836,yes,positive,investment_buildout
7375,no,neutral,other
79,yes,positive,investment_buildout
5806,yes,neutral,investment_buildout
5113,yes,neutral,investment_buildout
7432,yes,negative,jobs_economy
940,yes,negative,environment_water
4545,yes,negative,energy_grid
7414,yes,negative,environment_water
4158,yes,positive,tech_operations
2766,yes,negative,energy_grid
3391,yes,neutral,investment_buildout
6820,yes,negative,community_opposition
6829,yes,negative,community_opposition
111,yes,negative,policy_regulation
669,yes,positive,tech_operations
5174,yes,positive,investment_buildout
3823,no,neutral,other
1290,yes,positive,tech_operations
6284,yes,positive,energy_grid
5555,yes,negative,environment_water
1522,yes,positive,tech_operations
6954,yes,neutral,environment_water
74,no,neutral,other
955,yes,positive,investment_buildout
4602,yes,neutral,energy_grid
3292,yes,positive,tech_operations
5212,no,neutral,other
4187,yes,positive,tech_operations
7955,yes,positive,jobs_economy
1388,yes,positive,investment_buildout
347,yes,neutral,tech_operations
7137,yes,positive,tech_operations
6249,yes,positive,investment_buildout
1503,yes,positive,investment_buildout
674,yes,positive,investment_buildout
6674,yes,positive,investment_buildout
2188,yes,positive,investment_buildout
1134,yes,positive,investment_buildout
3151,yes,negative,environment_water
655,yes,neutral,policy_regulation
6630,yes,negative,environment_water
