month,census_n,water_kw_n,water_kw_share,energy_kw_n,energy_kw_share,n_relevant,water_theme_n,water_theme_share,energy_theme_n,energy_theme_share,water_negative_n
2022-01,838,4,0.0048,59,0.0704,135,3,0.0222,8,0.0593,1
2022-02,849,1,0.0012,78,0.0919,137,9,0.0657,14,0.1022,1
2022-03,985,6,0.0061,69,0.0701,137,10,0.073,1,0.0073,2
2022-04,989,10,0.0101,73,0.0738,146,8,0.0548,5,0.0342,0
2022-05,844,7,0.0083,120,0.1422,138,6,0.0435,15,0.1087,3
2022-06,853,4,0.0047,65,0.0762,129,4,0.031,13,0.1008,0
2022-07,760,6,0.0079,75,0.0987,143,11,0.0769,14,0.0979,5
2022-08,937,96,0.1025,51,0.0544,142,14,0.0986,9,0.0634,11
2022-09,849,5,0.0059,53,0.0624,141,11,0.078,7,0.0496,2
2022-10,673,5,0.0074,57,0.0847,139,4,0.0288,15,0.1079,1
2022-11,816,22,0.027,68,0.0833,137,10,0.073,16,0.1168,3
2022-12,793,24,0.0303,78,0.0984,146,10,0.0685,9,0.0616,5
2023-01,746,3,0.004,72,0.0965,143,5,0.035,11,0.0769,0
2023-02,895,2,0.0022,51,0.057,142,6,0.0423,9,0.0634,2
2023-03,750,10,0.0133,89,0.1187,137,13,0.0949,7,0.0511,1
2023-04,831,8,0.0096,82,0.0987,139,20,0.1439,9,0.0647,2
2023-05,1167,3,0.0026,98,0.084,137,6,0.0438,5,0.0365,0
2023-06,1158,7,0.006,120,0.1036,137,7,0.0511,13,0.0949,1
2023-07,904,16,0.0177,69,0.0763,140,6,0.0429,10,0.0714,1
2023-08,918,14,0.0153,69,0.0752,141,12,0.0851,8,0.0567,3
2023-09,957,9,0.0094,91,0.0951,142,5,0.0352,8,0.0563,2
2023-10,910,6,0.0066,91,0.1,144,8,0.0556,2,0.0139,4
2023-11,888,10,0.0113,79,0.089,134,8,0.0597,7,0.0522,3
2023-12,762,7,0.0092,68,0.0892,141,6,0.0426,9,0.0638,2
2024-01,949,2,0.0021,90,0.0948,139,8,0.0576,17,0.1223,2
2024-02,863,8,0.0093,108,0.1251,137,4,0.0292,13,0.0949,2
2024-03,1166,11,0.0094,124,0.1063,139,0,0.0,8,0.0576,0
2024-04,1159,10,0.0086,138,0.1191,135,7,0.0519,13,0.0963,3
2024-05,1665,13,0.0078,242,0.1453,138,4,0.029,18,0.1304,3
2024-06,1452,16,0.011,236,0.1625,141,4,0.0284,23,0.1631,1
2024-07,1334,8,0.006,221,0.1657,144,16,0.1111,20,0.1389,5
2024-08,1334,12,0.009,310,0.2324,137,5,0.0365,26,0.1898,3
2024-09,1709,29,0.017,371,0.2171,144,8,0.0556,28,0.1944,6
2024-10,1832,22,0.012,422,0.2303,141,7,0.0496,41,0.2908,1
2024-11,1581,9,0.0057,311,0.1967,142,8,0.0563,28,0.1972,6
2024-12,1676,20,0.0119,356,0.2124,143,3,0.021,34,0.2378,1
2025-01,2234,16,0.0072,460,0.2059,139,6,0.0432,27,0.1942,3
2025-02,1826,47,0.0257,325,0.178,137,10,0.073,27,0.1971,5
2025-03,1649,6,0.0036,303,0.1837,146,7,0.0479,25,0.1712,2
2025-04,2009,24,0.0119,447,0.2225,142,6,0.0423,30,0.2113,2
2025-05,1839,22,0.012,327,0.1778,136,5,0.0368,21,0.1544,2
2025-06,941,17,0.0181,223,0.237,144,4,0.0278,20,0.1389,1
2025-07,2425,66,0.0272,449,0.1852,145,11,0.0759,26,0.1793,8
2025-08,2276,115,0.0505,364,0.1599,133,8,0.0602,28,0.2105,8
2025-09,2940,92,0.0313,542,0.1844,143,6,0.042,25,0.1748,6
2025-10,3649,85,0.0233,741,0.2031,138,5,0.0362,23,0.1667,4
2025-11,3662,134,0.0366,841,0.2297,145,3,0.0207,33,0.2276,1
2025-12,3596,106,0.0295,684,0.1902,147,7,0.0476,23,0.1565,3
2026-01,4118,173,0.042,1017,0.247,143,10,0.0699,27,0.1888,7
2026-02,5039,132,0.0262,1098,0.2179,146,8,0.0548,22,0.1507,4
2026-03,5694,175,0.0307,1018,0.1788,150,8,0.0533,18,0.12,5
2026-04,5585,215,0.0385,700,0.1253,150,9,0.06,18,0.12,4
2026-05,6947,251,0.0361,1083,0.1559,150,10,0.0667,21,0.14,9
2026-06,9120,444,0.0487,1041,0.1141,149,14,0.094,19,0.1275,8
