quarter,census_n,water_kw_n,water_kw_share,energy_kw_n,energy_kw_share,n_relevant,water_theme_n,water_theme_share,energy_theme_n,energy_theme_share,water_negative_n,neg_energy_grid,neg_environment_water,neg_community_opposition,neg_investment_buildout,neg_jobs_economy,neg_policy_regulation,neg_tech_operations,neg_other
2022-Q1,2672,11,0.0041,206,0.0771,409,22,0.0538,23,0.0562,4,1,4,10,4,0,12,7,0
2022-Q2,2686,21,0.0078,258,0.0961,413,18,0.0436,33,0.0799,3,8,3,7,3,0,3,4,0
2022-Q3,2546,107,0.042,179,0.0703,426,36,0.0845,30,0.0704,18,7,18,31,6,1,3,17,1
2022-Q4,2282,51,0.0223,203,0.089,422,24,0.0569,40,0.0948,9,5,9,14,8,2,5,10,0
2023-Q1,2391,15,0.0063,212,0.0887,422,24,0.0569,27,0.064,3,6,3,12,5,1,11,12,0
2023-Q2,3156,18,0.0057,300,0.0951,413,33,0.0799,27,0.0654,3,6,3,11,2,1,6,4,3
2023-Q3,2779,39,0.014,229,0.0824,423,23,0.0544,26,0.0615,6,8,6,7,7,2,9,4,1
2023-Q4,2560,23,0.009,238,0.093,419,22,0.0525,18,0.043,9,3,9,9,3,1,4,13,0
2024-Q1,2978,21,0.0071,322,0.1081,415,12,0.0289,38,0.0916,4,10,4,8,3,1,9,3,0
2024-Q2,4276,39,0.0091,616,0.1441,414,15,0.0362,54,0.1304,7,12,7,10,2,1,7,15,1
2024-Q3,4377,49,0.0112,902,0.2061,425,29,0.0682,74,0.1741,14,21,14,13,2,1,2,4,0
2024-Q4,5089,51,0.01,1089,0.214,426,18,0.0423,103,0.2418,8,38,8,12,0,2,9,4,1
2025-Q1,5709,69,0.0121,1088,0.1906,422,23,0.0545,79,0.1872,10,30,10,8,16,1,5,3,0
2025-Q2,4789,63,0.0132,997,0.2082,422,15,0.0355,71,0.1682,5,20,5,13,24,1,5,6,0
2025-Q3,7641,273,0.0357,1355,0.1773,421,25,0.0594,79,0.1876,22,30,22,39,9,1,4,4,0
2025-Q4,10907,325,0.0298,2266,0.2078,430,15,0.0349,79,0.1837,8,29,8,70,6,4,7,1,0
2026-Q1,14851,480,0.0323,3133,0.211,439,26,0.0592,67,0.1526,16,17,16,54,4,7,19,18,1
2026-Q2,21652,910,0.042,2824,0.1304,449,33,0.0735,58,0.1292,21,29,21,89,12,0,32,4,2
