date,avg_tone
2022-01-01,0.4325
2022-01-02,0.0734
2022-01-03,0.8735
2022-01-04,1.8762
2022-01-05,2.1341
2022-01-06,1.7511
2022-01-07,0.8673
2022-01-08,0.3428
2022-01-09,1.7604
2022-01-10,1.6467
2022-01-11,1.4092
2022-01-12,1.4794
2022-01-13,2.0687
2022-01-14,0.9772
2022-01-15,0.3607
2022-01-16,1.1089
2022-01-17,1.1549
2022-01-18,1.2329
2022-01-19,1.6227
2022-01-20,1.6755
2022-01-21,0.0456
2022-01-22,0.4064
2022-01-23,0.661
2022-01-24,1.3625
2022-01-25,1.3821
2022-01-26,1.5069
2022-01-27,1.2629
2022-01-28,0.6424
2022-01-29,1.1712
2022-01-30,1.2428
2022-01-31,1.3771
2022-02-01,1.6291
2022-02-02,1.0772
2022-02-03,1.1106
2022-02-04,1.6517
2022-02-05,2.1176
2022-02-06,2.0491
2022-02-07,0.8628
2022-02-08,0.5072
2022-02-09,1.0709
2022-02-10,1.4796
2022-02-11,1.3434
2022-02-12,-0.1075
2022-02-13,0.2679
2022-02-14,1.3101
2022-02-15,1.3401
2022-02-16,1.4605
2022-02-17,1.4304
2022-02-18,0.7977
2022-02-19,1.4357
2022-02-20,1.9299
2022-02-21,1.4474
2022-02-22,1.708
2022-02-23,1.9412
2022-02-24,1.0638
2022-02-25,0.5847
2022-02-26,0.7613
2022-02-27,0.1257
2022-02-28,2.3511
2022-03-01,1.8196
2022-03-02,2.2042
2022-03-03,2.2184
2022-03-04,0.8051
2022-03-05,0.1841
2022-03-06,1.6606
2022-03-07,1.7028
2022-03-08,1.354
2022-03-09,1.7837
2022-03-10,1.2532
2022-03-11,1.2672
2022-03-12,0.9534
2022-03-13,-1.2444
2022-03-14,-1.3426
2022-03-15,1.5534
2022-03-16,1.3196
2022-03-17,1.4859
2022-03-18,1.322
2022-03-19,-0.2314
2022-03-20,-0.5367
2022-03-21,1.3852
2022-03-22,1.8366
2022-03-23,1.2195
2022-03-24,1.2644
2022-03-25,1.6071
2022-03-26,1.4246
2022-03-27,0.8791
2022-03-28,1.6713
2022-03-29,1.2956
2022-03-30,1.3843
2022-03-31,1.6722
2022-04-01,1.2617
2022-04-02,0.455
2022-04-03,0.5432
2022-04-04,1.7193
