date,article_count,total_monitored,volume_pct
2022-01-01,42,149414,0.02811
2022-01-02,39,161094,0.024209
2022-01-03,149,265545,0.056111
2022-01-04,158,333148,0.047426
2022-01-05,232,348263,0.066616
2022-01-06,158,332107,0.047575
2022-01-07,153,324847,0.047099
2022-01-08,39,217492,0.017932
2022-01-09,30,183683,0.016332
2022-01-10,173,330918,0.052279
2022-01-11,208,363627,0.057201
2022-01-12,268,371547,0.072131
2022-01-13,280,376142,0.07444
2022-01-14,171,354941,0.048177
2022-01-15,73,220429,0.033117
2022-01-16,53,203402,0.026057
2022-01-17,137,311847,0.043932
2022-01-18,245,361664,0.067742
2022-01-19,268,382479,0.070069
2022-01-20,244,380848,0.064068
2022-01-21,371,347880,0.106646
2022-01-22,89,225195,0.039521
2022-01-23,55,199935,0.027509
2022-01-24,182,339974,0.053534
2022-01-25,248,368348,0.067328
2022-01-26,246,371141,0.066282
2022-01-27,341,374110,0.09115
2022-01-28,319,354026,0.090106
2022-01-29,87,228536,0.038068
2022-01-30,57,202093,0.028205
2022-01-31,142,317480,0.044727
2022-02-01,237,350519,0.067614
2022-02-02,285,356034,0.080049
2022-02-03,243,356601,0.068143
2022-02-04,186,336205,0.055323
2022-02-05,38,221761,0.017136
2022-02-06,41,201336,0.020364
2022-02-07,223,321429,0.069378
2022-02-08,413,364934,0.113171
2022-02-09,289,372974,0.077485
2022-02-10,207,378488,0.054691
2022-02-11,171,351823,0.048604
2022-02-12,43,224659,0.01914
2022-02-13,28,191923,0.014589
2022-02-14,161,335252,0.048024
2022-02-15,271,359677,0.075345
2022-02-16,310,367311,0.084397
2022-02-17,294,358080,0.082105
2022-02-18,251,348377,0.072048
2022-02-19,56,222598,0.025157
2022-02-20,36,199600,0.018036
2022-02-21,140,319194,0.04386
2022-02-22,259,361226,0.0717
2022-02-23,245,365179,0.06709
2022-02-24,355,386066,0.091953
2022-02-25,208,360034,0.057772
2022-02-26,48,237676,0.020196
2022-02-27,30,214606,0.013979
2022-02-28,180,334893,0.053749
